DISTRICT,DISTNAME,DPETALLC,DPETSPEC,DPETBILC,DPETGIFC,DPETSPEP,DPETBILP,DPETGIFP,DPETVOCC,DPETVHSC,DPETVOCP,DPETVHSP,DPNTALLC
"182902","GRAFORD ISD",339,65,30,36,19.2,8.8,10.6,129,75,38.1,83.3,339
"182903","MINERAL WELLS ISD",3299,586,580,106,17.8,17.6,3.2,1155,766,35,80.6,3303
"182904","SANTO ISD",581,82,21,56,14.1,3.6,9.6,160,160,27.5,96.4,582
"182905","STRAWN ISD",172,21,23,4,12.2,13.4,2.3,66,46,38.4,80.7,172
"182906","PALO PINTO ISD",92,10,2,8,10.9,2.2,8.7,0,0,0,0,94
"183801","PANOLA CHARTER SCHOOL",184,8,0,21,4.3,0,11.4,128,104,69.6,65.8,184
"183901","BECKVILLE ISD",682,107,21,27,15.7,3.1,4,250,194,36.7,96.5,684
"183902","CARTHAGE ISD",2632,409,216,165,15.5,8.2,6.3,793,684,30.1,87.1,2637
"183904","GARY ISD",476,75,14,9,15.8,2.9,1.9,121,121,25.4,89,476
"184801","CROSSTIMBERS ACADEMY",130,21,0,0,16.2,0,0,94,94,72.3,72.3,130
"184901","POOLVILLE ISD",794,92,74,31,11.6,9.3,3.9,287,169,36.1,88,797
"184902","SPRINGTOWN ISD",4166,622,363,236,14.9,8.7,5.7,1516,1036,36.4,86,4188
"184903","WEATHERFORD ISD",8003,1511,819,585,18.9,10.2,7.3,3355,2223,41.9,88.7,8023
"184904","MILLSAP ISD",1081,187,42,68,17.3,3.9,6.3,279,279,25.8,92.7,1083
"184907","ALEDO ISD",8394,1156,246,703,13.8,2.9,8.4,2818,1829,33.6,77.9,8430
"184908","PEASTER ISD",1774,196,77,133,11,4.3,7.5,474,433,26.7,82.6,1776
"184909","BROCK ISD",2163,235,35,165,10.9,1.6,7.6,841,546,38.9,86.7,2169
"184911","GARNER ISD",357,52,22,34,14.6,6.2,9.5,136,86,38.1,97.7,357
"185901","BOVINA ISD",421,69,143,44,16.4,34,10.5,124,100,29.5,78.1,422
"185902","FARWELL ISD",598,71,75,34,11.9,12.5,5.7,176,175,29.4,92.6,599
"185903","FRIONA ISD",1014,91,395,49,9,39,4.8,251,250,24.8,85.9,1016
"185904","LAZBUDDIE ISD",127,18,28,8,14.2,22,6.3,50,33,39.4,86.8,127
"186901","BUENA VISTA ISD",220,18,54,17,8.2,24.5,7.7,80,64,36.4,79,220
"186902","FORT STOCKTON ISD",13453,1630,1124,446,12.1,8.4,3.3,4963,4726,36.9,74.2,13480
"186903","IRAAN-SHEFFIELD COLLEGIATE ISD",332,51,50,17,15.4,15.1,5.1,154,105,46.4,93.8,333
"187901","BIG SANDY ISD",506,90,8,48,17.8,1.6,9.5,151,111,29.8,94.9,506
"187903","GOODRICH ISD",266,35,52,10,13.2,19.5,3.8,63,62,23.7,92.5,266
"187904","CORRIGAN-CAMDEN ISD",832,138,54,63,16.6,6.5,7.6,345,226,41.5,91.1,834
"187906","LEGGETT ISD",226,31,10,13,13.7,4.4,5.8,60,59,26.5,93.7,227
"187907","LIVINGSTON ISD",4003,781,447,169,19.5,11.2,4.2,1132,1052,28.3,90.7,4016
"187910","ONALASKA ISD",1196,199,20,98,16.6,1.7,8.2,346,291,28.9,89.5,1196
"188901","AMARILLO ISD",29195,5151,5511,1466,17.6,18.9,5,7838,6321,26.8,75.1,29321
"188902","RIVER ROAD ISD",1217,224,102,31,18.4,8.4,2.5,440,334,36.2,84.1,1221
"188903","HIGHLAND PARK ISD",747,132,64,67,17.7,8.6,9,313,184,41.9,86.4,749
"188904","BUSHLAND ISD",1426,263,11,135,18.4,0.8,9.5,532,449,37.3,90.3,1434
"189901","MARFA ISD",194,38,35,1,19.6,18,0.5,44,43,22.7,72.9,194
"189902","PRESIDIO ISD",1083,112,734,89,10.3,67.8,8.2,347,313,32,74.9,1085
"190903","RAINS ISD",1708,359,160,108,21,9.4,6.3,639,471,37.4,88.7,1712
"191901","CANYON ISD",11501,1750,479,604,15.2,4.2,5.3,3397,2546,29.5,72.4,11565
"192901","REAGAN COUNTY ISD",852,104,171,49,12.2,20.1,5.8,266,216,31.2,94.3,855
"193801","BIG SPRINGS CHARTER SCHOOL",174,83,0,0,47.7,0,0,49,49,28.2,56.3,175
"193902","LEAKEY ISD",341,69,21,7,20.2,6.2,2.1,89,62,26.1,65.3,343
"194902","AVERY ISD",304,36,6,15,11.8,2,4.9,115,79,37.8,90.8,304
"194903","RIVERCREST ISD",682,112,47,56,16.4,6.9,8.2,219,195,32.1,90.7,684
"194904","CLARKSVILLE ISD",500,95,64,39,19,12.8,7.8,133,115,26.6,87.1,500
"194905","DETROIT ISD",487,89,5,39,18.3,1,8,153,137,31.4,89,488
"195901","PECOS-BARSTOW-TOYAH ISD",2906,384,539,89,13.2,18.5,3.1,788,748,27.1,87.6,2919
"195902","BALMORHEA ISD",146,22,19,1,15.1,13,0.7,64,53,43.8,100,146
"196901","AUSTWELL-TIVOLI ISD",141,41,4,7,29.1,2.8,5,15,15,10.6,31.9,141
"196902","WOODSBORO ISD",400,107,2,28,26.8,0.5,7,189,117,47.3,92.1,400
"196903","REFUGIO ISD",654,149,35,16,22.8,5.4,2.4,213,198,32.6,89.2,656
"197902","MIAMI ISD",177,21,2,7,11.9,1.1,4,45,45,25.4,81.8,177
"198901","BREMOND ISD",485,65,20,17,13.4,4.1,3.5,170,130,35.1,89.7,485
"198902","CALVERT ISD",144,29,23,2,20.1,16,1.4,28,21,19.4,56.8,145
"198903","FRANKLIN ISD",1462,252,39,100,17.2,2.7,6.8,361,361,24.7,80.6,1462
"198905","HEARNE ISD",712,150,160,30,21.1,22.5,4.2,183,181,25.7,79.4,718
"198906","MUMFORD ISD",598,57,120,103,9.5,20.1,17.2,115,115,19.2,76.2,598
"199901","ROCKWALL ISD",19125,3248,2030,1542,17,10.6,8.1,4378,4363,22.9,71.8,19235
"199902","ROYSE CITY ISD",10001,1927,1622,740,19.3,16.2,7.4,3092,2359,30.9,83.3,10034
"200901","BALLINGER ISD",771,135,28,45,17.5,3.6,5.8,227,208,29.4,89.3,775
"200902","MILES ISD",488,79,40,29,16.2,8.2,5.9,198,123,40.6,85.4,488
"200904","WINTERS ISD",550,104,17,43,18.9,3.1,7.8,165,127,30,89.4,552
"200906","OLFEN ISD",145,24,0,6,16.6,0,4.1,39,39,26.9,83,145
"201902","HENDERSON ISD",3234,594,620,277,18.4,19.2,8.6,1198,909,37,89.3,3245
"201903","LANEVILLE ISD",139,29,26,7,20.9,18.7,5,55,40,39.6,97.6,139
"201904","LEVERETTS CHAPEL ISD",242,35,60,1,14.5,24.8,0.4,73,59,30.2,81.9,242
"201907","MOUNT ENTERPRISE ISD",501,87,30,31,17.4,6,6.2,190,120,37.9,85.1,501
"201908","OVERTON ISD",521,99,16,42,19,3.1,8.1,221,148,42.4,95.5,523
"201910","TATUM ISD",1388,198,225,125,14.3,16.2,9,497,340,35.8,78,1392
"201913","CARLISLE ISD",644,135,226,25,21,35.1,3.9,176,176,27.3,95.1,646
"201914","WEST RUSK COUNTY CONSOLIDATED ISD",1029,154,131,66,15,12.7,6.4,315,312,30.6,87.6,1029
"202903","HEMPHILL ISD",786,138,10,43,17.6,1.3,5.5,252,209,32.1,91.3,788
"202905","WEST SABINE ISD",637,97,2,40,15.2,0.3,6.3,183,134,28.7,82.7,638
"203901","SAN AUGUSTINE ISD",596,96,102,35,16.1,17.1,5.9,213,183,35.7,90.6,597
"203902","BROADDUS ISD",377,58,9,31,15.4,2.4,8.2,114,89,30.2,90.8,377
"204901","COLDSPRING-OAKHURST CISD",1582,291,40,141,18.4,2.5,8.9,495,439,31.3,89.4,1585
"204904","SHEPHERD ISD",1964,309,412,127,15.7,21,6.5,539,538,27.4,87.3,1968
"205901","ARANSAS PASS ISD",1618,211,150,114,13,9.3,7,489,367,30.2,85.2,1624
"205902","GREGORY-PORTLAND ISD",5006,843,433,358,16.8,8.6,7.2,1374,1149,27.4,76.3,5024
"205903","INGLESIDE ISD",2071,393,257,70,19,12.4,3.4,855,563,41.3,90.2,2071
"205904","MATHIS ISD",1428,278,22,97,19.5,1.5,6.8,592,384,41.5,94.1,1429
"205905","ODEM-EDROY ISD",922,118,33,79,12.8,3.6,8.6,236,234,25.6,84.2,927
"205906","SINTON ISD",1957,390,45,92,19.9,2.3,4.7,522,431,26.7,77.2,1961
"205907","TAFT ISD",809,135,25,24,16.7,3.1,3,198,198,24.5,79.5,812
"206901","SAN SABA ISD",737,120,165,49,16.3,22.4,6.6,184,137,25,63.1,738
"206902","RICHLAND SPRINGS ISD",119,23,3,18,19.3,2.5,15.1,45,37,37.8,72.5,120
"206903","CHEROKEE ISD",123,23,5,13,18.7,4.1,10.6,50,42,40.7,95.5,123
"207901","SCHLEICHER ISD",413,63,60,28,15.3,14.5,6.8,131,116,31.7,78.9,415
"208901","HERMLEIGH ISD",256,31,10,30,12.1,3.9,11.7,101,73,39.5,96.1,258
"208902","SNYDER ISD",2308,327,389,140,14.2,16.9,6.1,691,602,29.9,83.6,2317
"208903","IRA ISD",284,26,14,9,9.2,4.9,3.2,123,76,43.3,96.2,284
"209901","ALBANY ISD",474,85,20,24,17.9,4.2,5.1,165,135,34.8,91.8,474
"209902","MORAN ISD",115,38,0,1,33,0,0.9,57,33,49.6,91.7,115
