DISTRICT,DISTNAME,DPETALLC,DPETSPEC,DPETBILC,DPETVOCC,DPETGIFC,DPETVHSC,DPETSPEP,DPETVOCP,DPETBILP,DPETGIFP,DPETVHSP,DPNTALLC
"152909","SHALLOWATER ISD",1735,184,64,597,101,474,10.6,34.4,3.7,5.8,93.1,1739
"152910","IDALOU ISD",972,113,19,387,67,256,11.6,39.8,2,6.9,89.8,976
"153903","O'DONNELL ISD",270,44,16,115,28,92,16.3,42.6,5.9,10.4,94.8,271
"153904","TAHOKA ISD",578,101,15,180,55,145,17.5,31.1,2.6,9.5,85.8,579
"153905","NEW HOME ISD",666,48,16,184,48,184,7.2,27.6,2.4,7.2,95.8,671
"153907","WILSON ISD",134,21,14,46,16,31,15.7,34.3,10.4,11.9,81.6,137
"154901","MADISONVILLE CISD",2390,275,429,834,19,648,11.5,34.9,17.9,0.8,94.9,2392
"154903","NORTH ZULCH ISD",358,60,14,121,13,82,16.8,33.8,3.9,3.6,96.5,358
"155901","JEFFERSON ISD",1106,226,16,413,70,328,20.4,37.3,1.4,6.3,87.5,1106
"156902","STANTON ISD",1037,144,117,366,77,303,13.9,35.3,11.3,7.4,95.6,1040
"156905","GRADY ISD",249,18,17,76,32,57,7.2,30.5,6.8,12.9,77,250
"157901","MASON ISD",704,92,93,266,103,178,13.1,37.8,13.2,14.6,84.8,705
"158901","BAY CITY ISD",3500,488,547,1229,42,892,13.9,35.1,15.6,1.2,86.4,3514
"158902","TIDEHAVEN ISD",1025,117,110,257,80,216,11.4,25.1,10.7,7.8,76.6,1029
"158904","MATAGORDA ISD",113,20,11,26,5,11,17.7,23,9.7,4.4,61.1,113
"158905","PALACIOS ISD",1259,205,243,584,102,361,16.3,46.4,19.3,8.1,94.8,1266
"158906","VAN VLECK ISD",1050,142,35,293,94,290,13.5,27.9,3.3,9,86.1,1051
"159901","EAGLE PASS ISD",13831,1769,6533,4316,761,3438,12.8,31.2,47.2,5.5,80.6,13869
"160901","BRADY ISD",968,148,38,245,90,244,15.3,25.3,3.9,9.3,83.6,971
"160904","ROCHELLE ISD",160,23,0,50,15,50,14.4,31.3,0,9.4,96.2,161
"160905","LOHN ISD",109,21,0,42,5,25,19.3,38.5,0,4.6,86.2,109
"161802","RAPOPORT ACADEMY PUBLIC SCHOOL",884,163,74,236,0,206,18.4,26.7,8.4,0,90.7,884
"161807","HARMONY PUBLIC SCHOOLS - NORTH TEXAS",10268,1197,3342,2405,1120,2380,11.7,23.4,32.5,10.9,92.4,10272
"161901","CRAWFORD ISD",599,80,8,183,24,149,13.4,30.6,1.3,4,81.4,599
"161903","MIDWAY ISD",8828,1271,421,2790,1106,2271,14.4,31.6,4.8,12.5,83.2,8849
"161906","LA VEGA ISD",3118,349,927,919,136,709,11.2,29.5,29.7,4.4,80.9,3120
"161907","LORENA ISD",1857,232,38,751,177,487,12.5,40.4,2,9.5,87.7,1858
"161908","MART ISD",605,68,30,138,58,138,11.2,22.8,5,9.6,89.6,606
"161909","MCGREGOR ISD",1532,210,178,428,74,377,13.7,27.9,11.6,4.8,88.3,1532
"161910","MOODY ISD",727,142,68,194,65,178,19.5,26.7,9.4,8.9,82.8,727
"161912","RIESEL ISD",652,87,31,232,86,180,13.3,35.6,4.8,13.2,86.5,652
"161914","WACO ISD",13488,2201,3383,3636,1346,2994,16.3,27,25.1,10,81,13517
"161916","WEST ISD",1240,177,50,432,85,348,14.3,34.8,4,6.9,90.9,1250
"161918","AXTELL ISD",844,146,5,280,37,218,17.3,33.2,0.6,4.4,80.1,845
"161919","BRUCEVILLE-EDDY ISD",586,107,34,244,38,191,18.3,41.6,5.8,6.5,95,586
"161920","CHINA SPRING ISD",3035,388,85,840,253,836,12.8,27.7,2.8,8.3,87.9,3037
"161921","CONNALLY ISD",2288,300,286,699,149,547,13.1,30.6,12.5,6.5,87.5,2289
"161922","ROBINSON ISD",2409,328,50,601,146,598,13.6,24.9,2.1,6.1,83.2,2413
"161923","BOSQUEVILLE ISD",723,125,26,217,39,195,17.3,30,3.6,5.4,88.2,723
"161924","HALLSBURG ISD",145,17,11,0,10,0,11.7,0,7.6,6.9,0,145
"161925","GHOLSON ISD",269,44,12,96,5,78,16.4,35.7,4.5,1.9,90.7,270
"162904","MCMULLEN COUNTY ISD",271,18,2,98,26,77,6.6,36.2,0.7,9.6,97.5,271
"163901","DEVINE ISD",1977,342,106,514,108,512,17.3,26,5.4,5.5,84.9,1984
"163902","D'HANIS ISD",273,36,1,81,28,81,13.2,29.7,0.4,10.3,84.4,278
"163903","NATALIA ISD",1265,213,144,294,59,293,16.8,23.2,11.4,4.7,84.4,1268
"163904","HONDO ISD",1748,253,48,460,59,429,14.5,26.3,2.7,3.4,82.8,1753
"163908","MEDINA VALLEY ISD",8656,1392,617,2242,611,2009,16.1,25.9,7.1,7.1,83.4,8700
"164901","MENARD ISD",284,50,19,69,12,69,17.6,24.3,6.7,4.2,75,287
"165802","MIDLAND ACADEMY CHARTER SCHOOL",402,26,13,0,22,0,6.5,0,3.2,5.5,0,402
"165901","MIDLAND ISD",28709,3265,5645,5509,1411,5208,11.4,19.2,19.7,4.9,67.4,28752
"165902","GREENWOOD ISD",3253,388,335,686,252,666,11.9,21.1,10.3,7.7,78.5,3257
"166901","CAMERON ISD",1516,163,206,418,161,417,10.8,27.6,13.6,10.6,87.8,1517
"166902","GAUSE ISD",142,13,19,2,4,0,9.2,1.4,13.4,2.8,0,142
"166903","MILANO ISD",411,42,19,165,42,142,10.2,40.1,4.6,10.2,94.7,411
"166904","ROCKDALE ISD",1507,160,160,505,69,404,10.6,33.5,10.6,4.6,87.4,1516
"166905","THORNDALE ISD",595,64,69,241,19,191,10.8,40.5,11.6,3.2,93.6,598
"166907","BUCKHOLTS ISD",116,14,14,39,4,27,12.1,33.6,12.1,3.4,79.4,116
"167901","GOLDTHWAITE ISD",533,79,25,198,42,166,14.8,37.1,4.7,7.9,93.3,533
"167902","MULLIN ISD",211,79,7,78,2,62,37.4,37,3.3,0.9,66,211
"167904","PRIDDY ISD",118,11,0,54,5,41,9.3,45.8,0,4.2,89.1,118
"168901","COLORADO ISD",920,146,43,258,14,219,15.9,28,4.7,1.5,88,947
"168902","LORAINE ISD",132,30,3,49,5,39,22.7,37.1,2.3,3.8,88.6,133
"168903","WESTBROOK ISD",244,29,0,109,8,87,11.9,44.7,0,3.3,95.6,245
"169901","BOWIE ISD",1556,296,108,456,107,290,19,29.3,6.9,6.9,58.8,1567
"169902","NOCONA ISD",748,150,105,243,79,193,20.1,32.5,14,10.6,82.5,752
"169906","GOLD BURG ISD",155,30,10,56,5,43,19.4,36.1,6.5,3.2,87.8,155
"169908","MONTAGUE ISD",158,26,2,8,9,0,16.5,5.1,1.3,5.7,0,158
"169909","PRAIRIE VALLEY ISD",127,22,1,44,11,38,17.3,34.6,0.8,8.7,84.4,127
"169910","FORESTBURG ISD",184,37,1,83,21,46,20.1,45.1,0.5,11.4,80.7,184
"169911","SAINT JO ISD",342,58,0,119,31,98,17,34.8,0,9.1,96.1,346
"170802","THRIVE CENTER FOR SUCCESS",127,117,5,0,0,0,92.1,0,3.9,0,0,127
"170902","CONROE ISD",71729,8152,14695,17254,6127,14900,11.4,24.1,20.5,8.5,67.3,72352
"170903","MONTGOMERY ISD",9773,1323,377,4028,808,2925,13.5,41.2,3.9,8.3,90.4,9794
"170904","WILLIS ISD",8936,1123,1468,2209,580,1843,12.6,24.7,16.4,6.5,69.8,8974
"170906","MAGNOLIA ISD",14408,2243,2775,3908,861,2998,15.6,27.1,19.3,6,64.4,14468
"170907","SPLENDORA ISD",5212,813,1400,1482,353,1232,15.6,28.4,26.9,6.8,82,5221
"170908","NEW CANEY ISD",18958,2509,7129,4901,1041,4885,13.2,25.9,37.6,5.5,84.8,18987
"171901","DUMAS ISD",4288,516,1851,979,215,847,12,22.8,43.2,5,71.1,4301
"171902","SUNRAY COLLEGIATE ISD",636,89,108,245,8,145,14,38.5,17,1.3,77.1,636
"172902","DAINGERFIELD-LONE STAR ISD",1020,218,118,359,50,276,21.4,35.2,11.6,4.9,84.7,1022
"172905","PEWITT CISD",840,139,62,309,33,224,16.5,36.8,7.4,3.9,90.3,842
"173901","MOTLEY COUNTY ISD",160,24,0,73,13,50,15,45.6,0,8.1,100,160
"174801","STEPHEN F AUSTIN STATE UNIVERSITY CHARTER SCHOOL",254,23,9,0,0,0,9.1,0,3.5,0,0,254
"174901","CHIRENO ISD",350,73,36,115,38,93,20.9,32.9,10.3,10.9,86.1,351
"174902","CUSHING ISD",551,109,36,219,59,146,19.8,39.7,6.5,10.7,89.6,551
"174903","GARRISON ISD",768,114,29,319,44,204,14.8,41.5,3.8,5.7,90.3,771
"174904","NACOGDOCHES ISD",5851,886,1721,1709,243,1522,15.1,29.2,29.4,4.2,83.8,5863
"174906","WODEN ISD",855,100,92,238,44,204,11.7,27.8,10.8,5.1,94.9,856
"174908","CENTRAL HEIGHTS ISD",1078,101,77,419,98,299,9.4,38.9,7.1,9.1,87.9,1079
"174909","MARTINSVILLE ISD",316,45,26,130,27,82,14.2,41.1,8.2,8.5,93.2,317
"174911","DOUGLASS ISD",425,54,21,122,31,122,12.7,28.7,4.9,7.3,91,426
"175902","BLOOMING GROVE ISD",950,97,168,258,43,257,10.2,27.2,17.7,4.5,92.8,956
"175903","CORSICANA ISD",6027,909,2038,2179,691,1445,15.1,36.2,33.8,11.5,81.5,6075
"175904","DAWSON ISD",579,90,58,230,32,186,15.5,39.7,10,5.5,95.4,581
"175905","FROST ISD",472,61,91,129,29,128,12.9,27.3,19.3,6.1,90.8,473
"175907","KERENS ISD",628,92,91,251,27,178,14.6,40,14.5,4.3,92.2,630
"175910","MILDRED ISD",835,100,60,267,57,205,12,32,7.2,6.8,82.7,837
"175911","RICE ISD",1067,121,267,319,103,302,11.3,29.9,25,9.7,92.1,1071
"176901","BURKEVILLE ISD",247,57,0,89,13,73,23.1,36,0,5.3,93.6,247
"176902","NEWTON ISD",924,180,2,402,90,258,19.5,43.5,0.2,9.7,92.8,927
"176903","DEWEYVILLE ISD",529,80,5,147,23,121,15.1,27.8,0.9,4.3,81.2,538
"177901","ROSCOE COLLEGIATE ISD",8425,1082,684,753,184,177,12.8,8.9,8.1,2.2,85.9,8425
"177902","SWEETWATER ISD",1850,380,65,741,104,462,20.5,40.1,3.5,5.6,88.3,1850
"177903","BLACKWELL CISD",170,32,3,60,17,46,18.8,35.3,1.8,10,83.6,170
"177905","HIGHLAND ISD",222,29,0,79,35,63,13.1,35.6,0,15.8,96.9,222
"178801","DR M L GARZA-GONZALEZ CHARTER SCHOOL",162,17,25,0,0,0,10.5,0,15.4,0,0,162
"178807","CORPUS CHRISTI MONTESSORI SCHOOL",131,20,6,0,0,0,15.3,0,4.6,0,0,131
"178808","SEASHORE CHARTER SCHOOLS",410,39,3,18,34,0,9.5,4.4,0.7,8.3,0,410
"178901","AGUA DULCE ISD",391,38,4,102,9,84,9.7,26.1,1,2.3,66.1,391
"178902","BISHOP CISD",1359,207,56,452,47,452,15.2,33.3,4.1,3.5,86.3,1362
"178903","CALALLEN ISD",3866,599,137,1041,261,934,15.5,26.9,3.5,6.8,79.2,3877
"178904","CORPUS CHRISTI ISD",33008,4912,2626,7336,1074,6396,14.9,22.2,8,3.3,61.9,33053
"178905","DRISCOLL ISD",338,34,13,1,8,0,10.1,0.3,3.8,2.4,0,340
"178906","LONDON ISD",1726,107,28,490,152,426,6.2,28.4,1.6,8.8,78.9,1726
"178908","PORT ARANSAS ISD",524,51,11,126,42,108,9.7,24,2.1,8,58.7,527
"178909","ROBSTOWN ISD",2506,315,85,312,206,264,12.6,12.5,3.4,8.2,35.9,2508
"178912","TULOSO-MIDWAY ISD",3626,424,287,872,233,824,11.7,24,7.9,6.4,74.3,3636
"178913","BANQUETE ISD",812,98,18,270,38,269,12.1,33.3,2.2,4.7,92.1,821
"178914","FLOUR BLUFF ISD",5657,833,196,1652,683,1275,14.7,29.2,3.5,12.1,64.9,5665
"178915","WEST OSO ISD",1901,275,172,518,128,380,14.5,27.2,9,6.7,70.9,1908
"179901","PERRYTON ISD",1915,232,708,529,94,445,12.1,27.6,37,4.9,73.6,1922
"180901","BOYS RANCH ISD",153,28,4,78,11,78,18.3,51,2.6,7.2,83.9,153
"180902","VEGA ISD",351,49,21,105,11,105,14,29.9,6,3.1,93.8,351
"180903","ADRIAN ISD",117,22,10,39,3,39,18.8,33.3,8.5,2.6,97.5,117
"180904","WILDORADO ISD",215,23,1,89,5,73,10.7,41.4,0.5,2.3,100,215
"181901","BRIDGE CITY ISD",3222,419,251,957,51,836,13,29.7,7.8,1.6,88.9,3235
"181905","ORANGEFIELD ISD",1805,264,47,738,85,498,14.6,40.9,2.6,4.7,92.1,1809
"181906","WEST ORANGE-COVE CISD",2573,326,200,549,131,534,12.7,21.3,7.8,5.1,81.7,2573
"181907","VIDOR ISD",4305,737,121,1057,227,1053,17.1,24.6,2.8,5.3,83.8,4311
"181908","LITTLE CYPRESS-MAURICEVILLE CISD",3234,589,126,1323,116,871,18.2,40.9,3.9,3.6,86,3241
"182901","GORDON ISD",232,27,12,107,22,70,11.6,46.1,5.2,9.5,93.3,233
"182902","GRAFORD ISD",330,57,26,117,42,97,17.3,35.5,7.9,12.7,90.7,330
"182903","MINERAL WELLS ISD",3313,549,523,1190,108,766,16.6,35.9,15.8,3.3,80.5,3321
"182904","SANTO ISD",556,79,22,149,44,149,14.2,26.8,4,7.9,94.9,556
"182905","STRAWN ISD",165,18,21,35,2,22,10.9,21.2,12.7,1.2,44.9,165
"182906","PALO PINTO ISD",101,8,1,0,6,0,7.9,0,1,5.9,0,102
"183801","PANOLA CHARTER SCHOOL",169,9,3,128,20,116,5.3,75.7,1.8,11.8,74.4,169
"183901","BECKVILLE ISD",699,101,24,249,29,183,14.4,35.6,3.4,4.1,95.3,700
"183902","CARTHAGE ISD",2593,370,241,826,172,711,14.3,31.9,9.3,6.6,90.2,2598
"183904","GARY ISD",485,68,17,108,10,108,14,22.3,3.5,2.1,81.8,485
"184801","CROSSTIMBERS ACADEMY",135,18,0,86,0,86,13.3,63.7,0,0,63.7,135
"184901","POOLVILLE ISD",748,76,76,229,24,154,10.2,30.6,10.2,3.2,87,749
"184902","SPRINGTOWN ISD",4155,603,353,1465,192,1007,14.5,35.3,8.5,4.6,86.8,4171
"184903","WEATHERFORD ISD",8171,1539,825,3302,590,2094,18.8,40.4,10.1,7.2,84.2,8203
"184904","MILLSAP ISD",1100,167,38,356,71,282,15.2,32.4,3.5,6.5,87.6,1100
"184907","ALEDO ISD",8127,972,250,2630,636,1730,12,32.4,3.1,7.8,75.9,8161
"184908","PEASTER ISD",1706,169,64,594,124,433,9.9,34.8,3.8,7.3,84.7,1706
"184909","BROCK ISD",2168,212,41,784,164,496,9.8,36.2,1.9,7.6,79.2,2177
"184911","GARNER ISD",365,53,18,113,26,65,14.5,31,4.9,7.1,92.9,365
"185901","BOVINA ISD",449,70,145,117,33,117,15.6,26.1,32.3,7.3,81.8,449
"185902","FARWELL ISD",603,74,92,165,29,165,12.3,27.4,15.3,4.8,95.9,605
"185903","FRIONA ISD",1018,91,399,263,45,262,8.9,25.8,39.2,4.4,86.5,1020
"185904","LAZBUDDIE ISD",129,19,28,54,7,30,14.7,41.9,21.7,5.4,78.9,129
"186901","BUENA VISTA ISD",255,27,53,99,18,82,10.6,38.8,20.8,7.1,88.2,255
"186902","FORT STOCKTON ISD",8415,928,626,2201,261,2143,11,26.2,7.4,3.1,62.1,8427
"186903","IRAAN-SHEFFIELD COLLEGIATE ISD",346,48,53,159,19,107,13.9,46,15.3,5.5,98.2,347
"187901","BIG SANDY ISD",518,90,8,119,35,116,17.4,23,1.5,6.8,93.5,524
"187903","GOODRICH ISD",270,37,53,69,1,69,13.7,25.6,19.6,0.4,90.8,272
"187904","CORRIGAN-CAMDEN ISD",834,121,73,320,73,214,14.5,38.4,8.8,8.8,84.9,836
"187906","LEGGETT ISD",197,33,7,46,14,45,16.8,23.4,3.6,7.1,81.8,199
"187907","LIVINGSTON ISD",4046,679,415,1064,167,1006,16.8,26.3,10.3,4.1,86.7,4052
"187910","ONALASKA ISD",1242,191,30,365,82,305,15.4,29.4,2.4,6.6,90,1242
"188901","AMARILLO ISD",29626,4875,5588,7866,1572,6382,16.5,26.6,18.9,5.3,75.1,29729
"188902","RIVER ROAD ISD",1185,209,96,385,28,303,17.6,32.5,8.1,2.4,79.1,1191
"188903","HIGHLAND PARK ISD",785,117,69,308,49,193,14.9,39.2,8.8,6.2,86.2,788
"188904","BUSHLAND ISD",1447,244,14,506,135,418,16.9,35,1,9.3,88.7,1455
"189901","MARFA ISD",223,38,42,75,1,62,17,33.6,18.8,0.4,88.6,223
"189902","PRESIDIO ISD",1038,103,683,299,92,298,9.9,28.8,65.8,8.9,76.4,1038
"190903","RAINS ISD",1737,312,138,495,101,439,18,28.5,7.9,5.8,84.1,1738
"191901","CANYON ISD",11311,1535,440,2614,563,2435,13.6,23.1,3.9,5,70.9,11378
"192901","REAGAN COUNTY ISD",806,98,153,202,47,202,12.2,25.1,19,5.8,94,810
"193801","BIG SPRINGS CHARTER SCHOOL",185,83,0,43,0,42,44.9,23.2,0,0,54.5,185
"193902","LEAKEY ISD",368,72,23,88,4,75,19.6,23.9,6.3,1.1,71.4,368
"194902","AVERY ISD",320,41,4,140,17,83,12.8,43.8,1.3,5.3,85.6,320
"194903","RIVERCREST ISD",708,97,45,225,60,195,13.7,31.8,6.4,8.5,93.8,709
"194904","CLARKSVILLE ISD",528,101,57,127,40,108,19.1,24.1,10.8,7.6,65.5,529
"194905","DETROIT ISD",494,89,2,132,34,131,18,26.7,0.4,6.9,88.5,497
"195901","PECOS-BARSTOW-TOYAH ISD",2872,349,472,801,74,701,12.2,27.9,16.4,2.6,85.7,2882
"195902","BALMORHEA ISD",145,22,20,57,1,48,15.2,39.3,13.8,0.7,82.8,145
"196901","AUSTWELL-TIVOLI ISD",139,38,3,6,4,6,27.3,4.3,2.2,2.9,13,139
"196902","WOODSBORO ISD",406,95,1,140,27,116,23.4,34.5,0.2,6.7,86.6,410
"196903","REFUGIO ISD",683,133,38,198,17,165,19.5,29,5.6,2.5,75.7,685
"197902","MIAMI ISD",198,20,4,52,9,52,10.1,26.3,2,4.5,86.7,198
"198901","BREMOND ISD",504,65,22,159,20,120,12.9,31.5,4.4,4,82.8,504
"198902","CALVERT ISD",147,23,3,31,2,29,15.6,21.1,2,1.4,67.4,147
"198903","FRANKLIN ISD",1383,212,50,367,97,333,15.3,26.5,3.6,7,77.8,1387
"198905","HEARNE ISD",758,148,161,204,30,199,19.5,26.9,21.2,4,81.2,764
"198906","MUMFORD ISD",600,53,124,124,106,123,8.8,20.7,20.7,17.7,78.8,600
"199901","ROCKWALL ISD",18695,2853,1944,4243,1535,4231,15.3,22.7,10.4,8.2,72.1,18798
"199902","ROYSE CITY ISD",9338,1565,1470,2755,685,2198,16.8,29.5,15.7,7.3,80.7,9371
"200901","BALLINGER ISD",794,124,19,215,49,206,15.6,27.1,2.4,6.2,85.1,799
"200902","MILES ISD",507,58,44,196,35,128,11.4,38.7,8.7,6.9,85.3,508
"200904","WINTERS ISD",535,87,16,124,48,107,16.3,23.2,3,9,74.3,539
"200906","OLFEN ISD",142,21,2,37,7,37,14.8,26.1,1.4,4.9,86,142
"201902","HENDERSON ISD",3277,548,628,952,268,852,16.7,29.1,19.2,8.2,86.7,3292
"201903","LANEVILLE ISD",140,20,24,65,8,45,14.3,46.4,17.1,5.7,100,140
"201904","LEVERETTS CHAPEL ISD",238,31,64,86,0,52,13,36.1,26.9,0,76.5,238
"201907","MOUNT ENTERPRISE ISD",507,81,32,140,38,109,16,27.6,6.3,7.5,72.2,507
"201908","OVERTON ISD",534,92,15,208,40,157,17.2,39,2.8,7.5,94.6,534
"201910","TATUM ISD",1382,176,219,500,138,345,12.7,36.2,15.8,10,77,1383
"201913","CARLISLE ISD",639,100,236,175,36,175,15.6,27.4,36.9,5.6,95.6,639
"201914","WEST RUSK COUNTY CONSOLIDATED ISD",1013,144,143,299,63,298,14.2,29.5,14.1,6.2,85.4,1013
"202903","HEMPHILL ISD",764,115,10,220,38,193,15.1,28.8,1.3,5,87.3,764
"202905","WEST SABINE ISD",616,86,5,160,41,131,14,26,0.8,6.7,82.9,618
"203901","SAN AUGUSTINE ISD",621,104,103,238,33,190,16.7,38.3,16.6,5.3,93.6,622
"203902","BROADDUS ISD",391,53,9,140,35,97,13.6,35.8,2.3,9,92.4,391
"204901","COLDSPRING-OAKHURST CISD",1623,263,22,519,130,459,16.2,32,1.4,8,92,1626
"204904","SHEPHERD ISD",1951,279,416,580,123,578,14.3,29.7,21.3,6.3,91.7,1958
"205901","ARANSAS PASS ISD",1718,199,136,435,91,361,11.6,25.3,7.9,5.3,80.8,1731
"205902","GREGORY-PORTLAND ISD",4948,802,329,1263,348,1176,16.2,25.5,6.6,7,78.4,4963
"205903","INGLESIDE ISD",2010,351,239,469,62,466,17.5,23.3,11.9,3.1,78.3,2010
"205904","MATHIS ISD",1444,253,11,382,82,382,17.5,26.5,0.8,5.7,94.3,1447
"205905","ODEM-EDROY ISD",910,96,23,219,76,219,10.5,24.1,2.5,8.4,79.9,913
"205906","SINTON ISD",2014,383,48,577,98,509,19,28.6,2.4,4.9,83.3,2023
"205907","TAFT ISD",832,121,22,219,31,189,14.5,26.3,2.6,3.7,73.3,836
"206901","SAN SABA ISD",737,123,194,188,47,144,16.7,25.5,26.3,6.4,67.6,738
"206902","RICHLAND SPRINGS ISD",139,21,3,61,21,50,15.1,43.9,2.2,15.1,87.7,140
"206903","CHEROKEE ISD",130,18,1,56,15,44,13.8,43.1,0.8,11.5,95.7,130
"207901","SCHLEICHER ISD",449,60,68,125,34,124,13.4,27.8,15.1,7.6,76.1,451
"208901","HERMLEIGH ISD",260,26,15,97,30,73,10,37.3,5.8,11.5,94.8,260
"208902","SNYDER ISD",2384,317,388,770,136,620,13.3,32.3,16.3,5.7,89.5,2396
"208903","IRA ISD",247,20,8,86,3,66,8.1,34.8,3.2,1.2,97.1,249
"209901","ALBANY ISD",496,76,19,183,23,154,15.3,36.9,3.8,4.6,90.6,496
"209902","MORAN ISD",121,33,0,57,1,34,27.3,47.1,0,0.8,94.4,121
"210901","CENTER ISD",2429,352,858,776,44,673,14.5,31.9,35.3,1.8,91.4,2434
"210902","JOAQUIN ISD",707,187,44,279,44,219,26.4,39.5,6.2,6.2,96.9,712
"210903","SHELBYVILLE ISD",855,122,50,204,48,187,14.3,23.9,5.8,5.6,82.4,857
"210904","TENAHA ISD",458,81,125,128,8,127,17.7,27.9,27.3,1.7,84.1,459
"210905","TIMPSON ISD",717,118,49,260,21,210,16.5,36.3,6.8,2.9,92.9,717
"210906","EXCELSIOR ISD",77,20,2,6,0,0,26,7.8,2.6,0,0,77
"211901","TEXHOMA ISD",107,16,34,0,1,0,15,0,31.8,0.9,0,107
"211902","STRATFORD ISD",531,67,139,152,7,152,12.6,28.6,26.2,1.3,92.1,534
"212801","CUMBERLAND ACADEMY",2035,234,153,603,0,483,11.5,29.6,7.5,0,87.7,2035
"212804","UT TYLER UNIVERSITY ACADEMY",1016,132,36,216,112,214,13,21.3,3.5,11,95.1,1016
"212901","ARP ISD",1000,150,42,339,59,268,15,33.9,4.2,5.9,88.7,1002
"212902","BULLARD ISD",2906,392,84,1147,238,780,13.5,39.5,2.9,8.2,87.5,2912
"212903","LINDALE ISD",4532,866,221,1349,325,1145,19.1,29.8,4.9,7.2,89,4552
"212904","TROUP ISD",1074,166,43,282,71,262,15.5,26.3,4,6.6,81.1,1075
"212905","TYLER ISD",18285,2177,4599,5599,1645,4357,11.9,30.6,25.2,9,82.8,18304
"212906","WHITEHOUSE ISD",4814,740,250,1355,509,1259,15.4,28.1,5.2,10.6,85.5,4826
"212909","CHAPEL HILL ISD",3269,556,928,1367,227,926,17,41.8,28.4,6.9,88.5,3270
"212910","WINONA ISD",1153,220,225,298,50,249,19.1,25.8,19.5,4.3,81.6,1153
"213801","BRAZOS RIVER CHARTER SCHOOL",66,7,1,45,0,45,10.6,68.2,1.5,0,68.2,66
"213901","GLEN ROSE ISD",2051,262,213,716,131,526,12.8,34.9,10.4,6.4,85.3,2060
"214901","RIO GRANDE CITY GRULLA ISD",9465,1071,8072,2467,1633,2200,11.3,26.1,85.3,17.3,77.2,9482
"214902","SAN ISIDRO ISD",163,25,30,65,4,65,15.3,39.9,18.4,2.5,97,163
"214903","ROMA ISD",5919,618,5328,1558,610,1557,10.4,26.3,90,10.3,88.5,5932
"215901","BRECKENRIDGE ISD",1389,219,90,460,82,364,15.8,33.1,6.5,5.9,87.9,1390
"216901","STERLING CITY ISD",360,76,40,157,9,130,21.1,43.6,11.1,2.5,95.6,360
"217901","ASPERMONT ISD",192,31,5,68,9,56,16.1,35.4,2.6,4.7,93.3,192
"218901","SONORA ISD",649,100,117,268,13,181,15.4,41.3,18,2,91,654
"219901","HAPPY ISD",270,28,16,87,11,87,10.4,32.2,5.9,4.1,95.6,270
"219903","TULIA ISD",884,147,66,313,39,213,16.6,35.4,7.5,4.4,78.6,884
"219905","KRESS ISD",264,38,22,82,4,82,14.4,31.1,8.3,1.5,97.6,264
"220801","TREETOPS SCHOOL INTERNATIONAL",358,39,5,34,0,34,10.9,9.5,1.4,0,51.5,358
"220802","ARLINGTON CLASSICS ACADEMY",1494,92,144,80,0,0,6.2,5.4,9.6,0,0,1494
"220809","FORT WORTH ACADEMY OF FINE ARTS",654,42,11,316,643,161,6.4,48.3,1.7,98.3,64.4,654
"220810","WESTLAKE ACADEMY CHARTER SCHOOL",888,87,32,172,0,170,9.8,19.4,3.6,0,54.8,888
"220811","EAST FORT WORTH MONTESSORI ACADEMY",184,18,53,0,7,0,9.8,0,28.8,3.8,0,184
"220814","TEXAS SCHOOL OF THE ARTS",332,31,28,0,330,0,9.3,0,8.4,99.4,0,333
"220815","CHAPEL HILL ACADEMY",535,42,89,4,60,0,7.9,0.7,16.6,11.2,0,535
"220817","NEWMAN INTERNATIONAL ACADEMY OF ARLINGTON",2854,167,415,655,161,481,5.9,23,14.5,5.6,88.4,2854
"220820","ROCKETSHIP PUBLIC SCHOOLS",645,56,31,0,0,0,8.7,0,4.8,0,0,645
"220821","ACADEMY OF VISUAL AND PERFORMING ARTS",105,11,6,1,12,0,10.5,1,5.7,11.4,0,105
"220901","ARLINGTON ISD",54713,6366,17914,12502,6143,11681,11.6,22.9,32.7,11.2,67.8,54750
"220902","BIRDVILLE ISD",22163,3115,5818,6547,1587,4645,14.1,29.5,26.3,7.2,66.5,22219
"220904","EVERMAN ISD",5137,738,1920,1858,200,1381,14.4,36.2,37.4,3.9,78,5139
"220905","FORT WORTH ISD",70903,8997,28176,19525,9240,14967,12.7,27.5,39.7,13,66.6,71060
"220906","GRAPEVINE-COLLEYVILLE ISD",13536,1655,1642,3804,2532,2963,12.2,28.1,12.1,18.7,62.1,13565
"220907","KELLER ISD",33169,5111,3925,10425,2915,9351,15.4,31.4,11.8,8.8,84.2,33250
"220908","MANSFIELD ISD",35759,4476,5626,9201,2537,7791,12.5,25.7,15.7,7.1,64.2,35851
"220910","LAKE WORTH ISD",3232,457,898,1193,167,749,14.1,36.9,27.8,5.2,77.9,3238
"220912","CROWLEY ISD",16929,2179,2978,6371,1510,4347,12.9,37.6,17.6,8.9,80.2,16956
"220914","KENNEDALE ISD",2823,359,406,1034,265,844,12.7,36.6,14.4,9.4,84,2827
"220915","AZLE ISD",7197,1118,615,2691,425,1827,15.5,37.4,8.5,5.9,82.9,7218
"220916","HURST-EULESS-BEDFORD ISD",23156,3239,5263,6289,1654,4812,14,27.2,22.7,7.1,70,23226
