DISTRICT,DISTNAME,DPETALLC,DPETSPEC,DPETBILC,DPETVOCC,DPETGIFC,DPETVHSC,DPETSPEP,DPETVOCP,DPETBILP,DPETGIFP,DPETVHSP,DPNTALLC
"074907","HONEY GROVE ISD",618,108,58,227,44,186,17.5,36.7,9.4,7.1,84.2,618
"074909","LEONARD ISD",812,139,54,324,46,243,17.1,39.9,6.7,5.7,95.3,814
"074911","SAVOY ISD",301,51,16,67,20,47,16.9,22.3,5.3,6.6,64.4,302
"074912","TRENTON ISD",698,114,90,218,35,179,16.3,31.2,12.9,5,88.2,700
"074917","SAM RAYBURN ISD",482,83,27,185,27,132,17.2,38.4,5.6,5.6,91.7,484
"075901","FLATONIA ISD",658,100,59,196,59,196,15.2,29.8,9,9,93.3,659
"075902","LA GRANGE ISD",1920,353,339,470,131,469,18.4,24.5,17.7,6.8,77.1,1926
"075903","SCHULENBURG ISD",660,123,102,238,47,229,18.6,36.1,15.5,7.1,91.2,663
"075906","FAYETTEVILLE ISD",289,39,17,124,35,95,13.5,42.9,5.9,12.1,99,290
"075908","ROUND TOP-CARMINE ISD",239,27,27,76,7,67,11.3,31.8,11.3,2.9,93.1,240
"076903","ROBY CISD",306,53,6,117,17,74,17.3,38.2,2,5.6,90.2,307
"076904","ROTAN ISD",270,41,9,90,18,48,15.2,33.3,3.3,6.7,72.7,271
"077901","FLOYDADA COLLEGIATE ISD",681,72,51,239,29,191,10.6,35.1,7.5,4.3,87.6,681
"077902","LOCKNEY ISD",404,40,19,145,28,115,9.9,35.9,4.7,6.9,87.1,404
"078901","CROWELL ISD",196,37,2,57,27,42,18.9,29.1,1,13.8,95.5,196
"079901","LAMAR CISD",44395,6341,9414,11261,3792,9144,14.3,25.4,21.2,8.5,70.1,44512
"079906","NEEDVILLE ISD",3595,520,404,1527,144,979,14.5,42.5,11.2,4,87.4,3598
"079907","FORT BEND ISD",80034,11128,16920,20366,5286,18491,13.9,25.4,21.1,6.6,69.8,80206
"079910","STAFFORD MSD",3476,313,902,1029,166,941,9,29.6,25.9,4.8,84.5,3479
