DISTRICT,DISTNAME,COUNTY,CNTYNAME,REGION,REGNNAME,DFLCHART,DFLALTED,D_RATING,DAD_POST,ASVAB_STATUS,OUTCOME
"014801","RICHARD MILBURN ALTER HIGH SCHOOL (KILLEEN)","014","BELL","20","REGION 20: SAN ANTONIO","Y","Y","C"," "," ","Needs Intervention"
"014803","PRIORITY CHARTER SCHOOLS","014","BELL","12","REGION 12: WACO","Y","N","B","0"," ","Meets Requirements"
"014804","ORENDA CHARTER SCHOOL","014","BELL","12","REGION 12: WACO","Y","N","A","0"," ","Meets Requirements"
"014901","ACADEMY ISD","014","BELL","12","REGION 12: WACO","N","N","B","0"," ","Meets Requirements"
"014902","BARTLETT ISD","014","BELL","13","REGION 13: AUSTIN","N","N","C"," "," ","Meets Requirements"
"014903","BELTON ISD","014","BELL","12","REGION 12: WACO","N","N","B","0"," ","Meets Requirements"
"014905","HOLLAND ISD","014","BELL","12","REGION 12: WACO","N","N","A","0"," ","Meets Requirements"
"014906","KILLEEN ISD","014","BELL","12","REGION 12: WACO","N","N","C","0"," ","Needs Assistance"
"014907","ROGERS ISD","014","BELL","12","REGION 12: WACO","N","N","C","0"," ","Meets Requirements"
"014908","SALADO ISD","014","BELL","12","REGION 12: WACO","N","N","B","0"," ","Meets Requirements"
"014909","TEMPLE ISD","014","BELL","12","REGION 12: WACO","N","N","C","0"," ","Needs Assistance"
"014910","TROY ISD","014","BELL","12","REGION 12: WACO","N","N","B","0"," ","Meets Requirements"
"015801","POR VIDA ACADEMY","015","BEXAR","20","REGION 20: SAN ANTONIO","Y","Y","B"," "," ","Meets Requirements"
"015802","GEORGE GERVIN ACADEMY","015","BEXAR","20","REGION 20: SAN ANTONIO","Y","N","D","0"," ","Needs Assistance"
"015805","NEW FRONTIERS PUBLIC SCHOOLS INC","015","BEXAR","20","REGION 20: SAN ANTONIO","Y","N","B","0"," ","Meets Requirements"
"015806","LEGACY TRADITIONAL SCHOOLS - TEXAS","015","BEXAR","20","REGION 20: SAN ANTONIO","Y","N","C","0"," ","Meets Requirements"
"015807","SOUTHWEST PREPARATORY SCHOOL","015","BEXAR","20","REGION 20: SAN ANTONIO","Y","N","C","0"," ","Meets Requirements"
"015808","INSPIRE ACADEMIES","015","BEXAR","20","REGION 20: SAN ANTONIO","Y","N","B","0","ASVAB Test Not Offered","Meets Requirements"
"015809","BEXAR COUNTY ACADEMY","015","BEXAR","20","REGION 20: SAN ANTONIO","Y","N","D"," "," ","Meets Requirements"
"015814","POSITIVE SOLUTIONS CHARTER SCHOOL","015","BEXAR","20","REGION 20: SAN ANTONIO","Y","Y","C"," "," ","Meets Requirements"
"015815","HERITAGE ACADEMY","015","BEXAR","20","REGION 20: SAN ANTONIO","Y","Y","A"," "," ","Meets Requirements"
"015822","JUBILEE ACADEMIES","015","BEXAR","20","REGION 20: SAN ANTONIO","Y","N","B","0"," ","Needs Assistance"
"015825","LIGHTHOUSE PUBLIC SCHOOLS","015","BEXAR","20","REGION 20: SAN ANTONIO","Y","N","C","0"," ","Needs Assistance"
"015827","SCHOOL OF SCIENCE AND TECHNOLOGY","015","BEXAR","20","REGION 20: SAN ANTONIO","Y","N","B","0"," ","Meets Requirements"
"015828","HARMONY PUBLIC SCHOOLS - SOUTH TEXAS","015","BEXAR","20","REGION 20: SAN ANTONIO","Y","N","B","1"," ","Meets Requirements"
"015830","SOMERSET ACADEMIES OF TEXAS","015","BEXAR","20","REGION 20: SAN ANTONIO","Y","N","C","0"," ","Meets Requirements"
"015831","SCHOOL OF SCIENCE AND TECHNOLOGY DISCOVERY","015","BEXAR","20","REGION 20: SAN ANTONIO","Y","N","B","1"," ","Meets Requirements"
"015833","HENRY FORD ACADEMY ALAMEDA SCHOOL FOR ART + DESIGN","015","BEXAR","20","REGION 20: SAN ANTONIO","Y","N","F"," "," ","Meets Requirements"
"015834","BASIS TEXAS","015","BEXAR","20","REGION 20: SAN ANTONIO","Y","N","A","0"," ","Meets Requirements"
"015835","GREAT HEARTS TEXAS","015","BEXAR","20","REGION 20: SAN ANTONIO","Y","N","B","0"," ","Meets Requirements"
"015836","ELEANOR KOLITZ HEBREW LANGUAGE ACADEMY","015","BEXAR","20","REGION 20: SAN ANTONIO","Y","N","A"," "," ","Meets Requirements"
"015838","COMPASS ROSE PUBLIC SCHOOLS","015","BEXAR","20","REGION 20: SAN ANTONIO","Y","N","D","0","ASVAB Test Not Offered","Needs Assistance"
"015839","PROMESA ACADEMY CHARTER SCHOOL","015","BEXAR","20","REGION 20: SAN ANTONIO","Y","N","C"," "," ","Meets Requirements"
"015840","SAN ANTONIO STEAM ACADEMY","015","BEXAR","20","REGION 20: SAN ANTONIO","Y","N","F"," ","ASVAB Test Not Offered","Meets Requirements"
"015841","THE GATHERING PLACE","015","BEXAR","20","REGION 20: SAN ANTONIO","Y","N","F"," "," ","Needs Assistance"
"015842","ROYAL PUBLIC SCHOOLS","015","BEXAR","20","REGION 20: SAN ANTONIO","Y","N","F"," "," ","Meets Requirements"
"015843","PRELUDE PREPARATORY CHARTER SCHOOL","015","BEXAR","20","REGION 20: SAN ANTONIO","Y","N","B"," "," ","Meets Requirements"
"015844","ESSENCE PREPARATORY CHARTER SCHOOL","015","BEXAR","20","REGION 20: SAN ANTONIO","Y","N","F"," "," ","Meets Requirements"
"015845","CELEBRATE DYSLEXIA SCHOOLS","015","BEXAR","20","REGION 20: SAN ANTONIO","Y","N","X"," "," ","Meets Requirements"
"015901","ALAMO HEIGHTS ISD","015","BEXAR","20","REGION 20: SAN ANTONIO","N","N","B","0"," ","Meets Requirements"
"015904","HARLANDALE ISD","015","BEXAR","20","REGION 20: SAN ANTONIO","N","N","D","0"," ","Needs Intervention"
"015905","EDGEWOOD ISD","015","BEXAR","20","REGION 20: SAN ANTONIO","N","N","D","0"," ","Needs Intervention"
"015906","RANDOLPH FIELD ISD","015","BEXAR","20","REGION 20: SAN ANTONIO","N","N","A","0"," ","Meets Requirements"
"015907","SAN ANTONIO ISD","015","BEXAR","20","REGION 20: SAN ANTONIO","N","N","C","0"," ","Needs Assistance"
"015908","SOUTH SAN ANTONIO ISD","015","BEXAR","20","REGION 20: SAN ANTONIO","N","N","D","0"," ","Needs Intervention"
"015909","SOMERSET ISD","015","BEXAR","20","REGION 20: SAN ANTONIO","N","N","B","1"," ","Meets Requirements"
"015910","NORTH EAST ISD","015","BEXAR","20","REGION 20: SAN ANTONIO","N","N","C","0"," ","Meets Requirements"
"015911","EAST CENTRAL ISD","015","BEXAR","20","REGION 20: SAN ANTONIO","N","N","C","0"," ","Needs Intervention"
"015912","SOUTHWEST ISD","015","BEXAR","20","REGION 20: SAN ANTONIO","N","N","C","0"," ","Needs Assistance"
"015913","LACKLAND ISD","015","BEXAR","20","REGION 20: SAN ANTONIO","N","N","B","0"," ","Meets Requirements"
"015914","FT SAM HOUSTON ISD","015","BEXAR","20","REGION 20: SAN ANTONIO","N","N","A","0"," ","Meets Requirements"
"015915","NORTHSIDE ISD","015","BEXAR","20","REGION 20: SAN ANTONIO","N","N","C","0","ASVAB Alternative Test Offered","Meets Requirements"
"015916","JUDSON ISD","015","BEXAR","20","REGION 20: SAN ANTONIO","N","N","D","0"," ","Needs Assistance"
"015917","SOUTHSIDE ISD","015","BEXAR","20","REGION 20: SAN ANTONIO","N","N","C","1"," ","Meets Requirements"
"016901","JOHNSON CITY ISD","016","BLANCO","13","REGION 13: AUSTIN","N","N","B","0"," ","Meets Requirements"
"016902","BLANCO ISD","016","BLANCO","13","REGION 13: AUSTIN","N","N","B","0"," ","Meets Requirements"
"017901","BORDEN COUNTY ISD","017","BORDEN","17","REGION 17: LUBBOCK","N","N","A"," "," ","Meets Requirements"
"018901","CLIFTON ISD","018","BOSQUE","12","REGION 12: WACO","N","N","B","1"," ","Meets Requirements"
"018902","MERIDIAN ISD","018","BOSQUE","12","REGION 12: WACO","N","N","F","0"," ","Meets Requirements"
"018903","MORGAN ISD","018","BOSQUE","12","REGION 12: WACO","N","N","C"," "," ","Meets Requirements"
"018904","VALLEY MILLS ISD","018","BOSQUE","12","REGION 12: WACO","N","N","C","0"," ","Meets Requirements"
"018905","WALNUT SPRINGS ISD","018","BOSQUE","12","REGION 12: WACO","N","N","F"," "," ","Meets Requirements"
"018906","IREDELL ISD","018","BOSQUE","12","REGION 12: WACO","N","N","A"," "," ","Meets Requirements"
"018907","KOPPERL ISD","018","BOSQUE","12","REGION 12: WACO","N","N","D"," "," ","Meets Requirements"
"018908","CRANFILLS GAP ISD","018","BOSQUE","12","REGION 12: WACO","N","N","A"," "," ","Meets Requirements"
"019901","DEKALB ISD","019","BOWIE","08","REGION 08: MT PLEASANT","N","N","B","0"," ","Meets Requirements"
"019902","HOOKS ISD","019","BOWIE","08","REGION 08: MT PLEASANT","N","N","B","0"," ","Meets Requirements"
"019903","MAUD ISD","019","BOWIE","08","REGION 08: MT PLEASANT","N","N","A"," "," ","Meets Requirements"
"019905","NEW BOSTON ISD","019","BOWIE","08","REGION 08: MT PLEASANT","N","N","B","0"," ","Meets Requirements"
"019906","REDWATER ISD","019","BOWIE","08","REGION 08: MT PLEASANT","N","N","B","0"," ","Meets Requirements"
"019907","TEXARKANA ISD","019","BOWIE","08","REGION 08: MT PLEASANT","N","N","D","0"," ","Needs Intervention"
"019908","LIBERTY-EYLAU ISD","019","BOWIE","08","REGION 08: MT PLEASANT","N","N","D","0"," ","Needs Substantial Intervention"
"019909","SIMMS ISD","019","BOWIE","08","REGION 08: MT PLEASANT","N","N","B","1"," ","Meets Requirements"
"019910","MALTA ISD","019","BOWIE","08","REGION 08: MT PLEASANT","N","N","B"," "," ","Meets Requirements"
"019911","RED LICK ISD","019","BOWIE","08","REGION 08: MT PLEASANT","N","N","A"," "," ","Meets Requirements"
"019912","PLEASANT GROVE ISD","019","BOWIE","08","REGION 08: MT PLEASANT","N","N","B","0"," ","Meets Requirements"
"019913","HUBBARD ISD","019","BOWIE","08","REGION 08: MT PLEASANT","N","N","C"," "," ","Meets Requirements"
"019914","LEARY ISD","019","BOWIE","08","REGION 08: MT PLEASANT","N","N","D"," "," ","Meets Requirements"
"020901","ALVIN ISD","020","BRAZORIA","04","REGION 04: HOUSTON","N","N","B","0"," ","Meets Requirements"
"020902","ANGLETON ISD","020","BRAZORIA","04","REGION 04: HOUSTON","N","N","B","1"," ","Meets Requirements"
"020904","DANBURY ISD","020","BRAZORIA","04","REGION 04: HOUSTON","N","N","B","0"," ","Meets Requirements"
"020905","BRAZOSPORT ISD","020","BRAZORIA","04","REGION 04: HOUSTON","N","N","C","0"," ","Needs Assistance"
"020906","SWEENY ISD","020","BRAZORIA","04","REGION 04: HOUSTON","N","N","C","0"," ","Needs Assistance"
"020907","COLUMBIA-BRAZORIA ISD","020","BRAZORIA","04","REGION 04: HOUSTON","N","N","C","0"," ","Needs Assistance"
"020908","PEARLAND ISD","020","BRAZORIA","04","REGION 04: HOUSTON","N","N","A","0"," ","Meets Requirements"
"020910","DAMON ISD","020","BRAZORIA","04","REGION 04: HOUSTON","N","N","C"," "," ","Meets Requirements"
"021803","BRAZOS SCHOOL FOR INQUIRY & CREATIVITY","021","BRAZOS","06","REGION 06: HUNTSVILLE","Y","N","C"," "," ","Meets Requirements"
"021805","ARROW ACADEMY","021","BRAZOS","06","REGION 06: HUNTSVILLE","Y","N","B","0"," ","Meets Requirements"
"021901","COLLEGE STATION ISD","021","BRAZOS","06","REGION 06: HUNTSVILLE","N","N","B","0"," ","Meets Requirements"
"021902","BRYAN ISD","021","BRAZOS","06","REGION 06: HUNTSVILLE","N","N","C","0"," ","Needs Assistance"
"022004","TERLINGUA CSD","022","BREWSTER","18","REGION 18: MIDLAND","N","N","F"," "," ","Meets Requirements"
"022901","ALPINE ISD","022","BREWSTER","18","REGION 18: MIDLAND","N","N","B","0"," ","Meets Requirements"
"022902","MARATHON ISD","022","BREWSTER","18","REGION 18: MIDLAND","N","N","C"," "," ","Meets Requirements"
"022903","SAN VICENTE ISD","022","BREWSTER","18","REGION 18: MIDLAND","N","N","B"," "," ","Meets Requirements"
"023902","SILVERTON ISD","023","BRISCOE","16","REGION 16: AMARILLO","N","N","A"," "," ","Meets Requirements"
"024901","BROOKS COUNTY ISD","024","BROOKS","01","REGION 01: EDINBURG","N","N","D","0"," ","Needs Assistance"
"025901","BANGS ISD","025","BROWN","15","REGION 15: SAN ANGELO","N","N","C","0"," ","Meets Requirements"
"025902","BROWNWOOD ISD","025","BROWN","15","REGION 15: SAN ANGELO","N","N","C","0"," ","Needs Assistance"
"025904","BLANKET ISD","025","BROWN","15","REGION 15: SAN ANGELO","N","N","D"," "," ","Meets Requirements"
"025905","MAY ISD","025","BROWN","15","REGION 15: SAN ANGELO","N","N","C","0"," ","Meets Requirements"
"025906","ZEPHYR ISD","025","BROWN","15","REGION 15: SAN ANGELO","N","N","B"," "," ","Meets Requirements"
"025908","BROOKESMITH ISD","025","BROWN","15","REGION 15: SAN ANGELO","N","N","C","0"," ","Meets Requirements"
"025909","EARLY ISD","025","BROWN","15","REGION 15: SAN ANGELO","N","N","B","0"," ","Meets Requirements"
"026901","CALDWELL ISD","026","BURLESON","06","REGION 06: HUNTSVILLE","N","N","B","0"," ","Needs Assistance"
"026902","SOMERVILLE ISD","026","BURLESON","06","REGION 06: HUNTSVILLE","N","N","D","0"," ","Meets Requirements"
"026903","SNOOK ISD","026","BURLESON","06","REGION 06: HUNTSVILLE","N","N","B","0"," ","Meets Requirements"
"027903","BURNET CISD","027","BURNET","13","REGION 13: AUSTIN","N","N","C","0"," ","Meets Requirements"
"027904","MARBLE FALLS ISD","027","BURNET","13","REGION 13: AUSTIN","N","N","C","0"," ","Needs Assistance"
"028902","LOCKHART ISD","028","CALDWELL","13","REGION 13: AUSTIN","N","N","C","0"," ","Needs Intervention"
"028903","LULING ISD","028","CALDWELL","13","REGION 13: AUSTIN","N","N","C","0"," ","Meets Requirements"
"028906","PRAIRIE LEA ISD","028","CALDWELL","13","REGION 13: AUSTIN","N","N","D"," "," ","Meets Requirements"
"029901","CALHOUN COUNTY ISD","029","CALHOUN","03","REGION 03: VICTORIA","N","N","B","1"," ","Meets Requirements"
"030901","CROSS PLAINS ISD","030","CALLAHAN","14","REGION 14: ABILENE","N","N","B","0"," ","Meets Requirements"
"030902","CLYDE CISD","030","CALLAHAN","14","REGION 14: ABILENE","N","N","B","0"," ","Meets Requirements"
"030903","BAIRD ISD","030","CALLAHAN","14","REGION 14: ABILENE","N","N","D","0"," ","Meets Requirements"
"030906","EULA ISD","030","CALLAHAN","14","REGION 14: ABILENE","N","N","B","0"," ","Meets Requirements"
"031901","BROWNSVILLE ISD","031","CAMERON","01","REGION 01: EDINBURG","N","N","B","0"," ","Meets Requirements"
"031903","HARLINGEN CISD","031","CAMERON","01","REGION 01: EDINBURG","N","N","B","1"," ","Meets Requirements"
"031905","LA FERIA ISD","031","CAMERON","01","REGION 01: EDINBURG","N","N","B","0"," ","Needs Assistance"
"031906","LOS FRESNOS CISD","031","CAMERON","01","REGION 01: EDINBURG","N","N","B","1"," ","Meets Requirements"
"031909","POINT ISABEL ISD","031","CAMERON","01","REGION 01: EDINBURG","N","N","B","0"," ","Meets Requirements"
"031911","RIO HONDO ISD","031","CAMERON","01","REGION 01: EDINBURG","N","N","C","0"," ","Needs Assistance"
"031912","SAN BENITO CISD","031","CAMERON","01","REGION 01: EDINBURG","N","N","C","0"," ","Meets Requirements"
"031913","SANTA MARIA ISD","031","CAMERON","01","REGION 01: EDINBURG","N","N","C","0"," ","Needs Assistance"
"031914","SANTA ROSA ISD","031","CAMERON","01","REGION 01: EDINBURG","N","N","B","0"," ","Meets Requirements"
"031916","SOUTH TEXAS ISD","031","CAMERON","01","REGION 01: EDINBURG","N","N","A","1"," ","Meets Requirements"
"032902","PITTSBURG ISD","032","CAMP","08","REGION 08: MT PLEASANT","N","N","A","1"," ","Meets Requirements"
"033901","GROOM ISD","033","CARSON","16","REGION 16: AMARILLO","N","N","C"," "," ","Meets Requirements"
"033902","PANHANDLE ISD","033","CARSON","16","REGION 16: AMARILLO","N","N","A","0"," ","Meets Requirements"
"033904","WHITE DEER ISD","033","CARSON","16","REGION 16: AMARILLO","N","N","B","0"," ","Meets Requirements"
"034901","ATLANTA ISD","034","CASS","08","REGION 08: MT PLEASANT","N","N","B","0"," ","Meets Requirements"
"034902","AVINGER ISD","034","CASS","08","REGION 08: MT PLEASANT","N","N","B"," "," ","Meets Requirements"
"034903","HUGHES SPRINGS ISD","034","CASS","08","REGION 08: MT PLEASANT","N","N","B","0"," ","Meets Requirements"
"034905","LINDEN-KILDARE CISD","034","CASS","08","REGION 08: MT PLEASANT","N","N","C","0"," ","Meets Requirements"
"034906","MCLEOD ISD","034","CASS","08","REGION 08: MT PLEASANT","N","N","B"," "," ","Meets Requirements"
"034907","QUEEN CITY ISD","034","CASS","08","REGION 08: MT PLEASANT","N","N","B","0"," ","Meets Requirements"
"034909","BLOOMBURG ISD","034","CASS","08","REGION 08: MT PLEASANT","N","N","B"," "," ","Meets Requirements"
"035901","DIMMITT ISD","035","CASTRO","16","REGION 16: AMARILLO","N","N","C","0"," ","Meets Requirements"
"035902","HART ISD","035","CASTRO","16","REGION 16: AMARILLO","N","N","A"," "," ","Meets Requirements"
"035903","NAZARETH ISD","035","CASTRO","16","REGION 16: AMARILLO","N","N","A"," "," ","Meets Requirements"
"036901","ANAHUAC ISD","036","CHAMBERS","04","REGION 04: HOUSTON","N","N","C","0"," ","Needs Assistance"
"036902","BARBERS HILL ISD","036","CHAMBERS","04","REGION 04: HOUSTON","N","N","A","1"," ","Meets Requirements"
"036903","EAST CHAMBERS ISD","036","CHAMBERS","05","REGION 05: BEAUMONT","N","N","B","0"," ","Meets Requirements"
"037901","ALTO ISD","037","CHEROKEE","07","REGION 07: KILGORE","N","N","B","0"," ","Meets Requirements"
"037904","JACKSONVILLE ISD","037","CHEROKEE","07","REGION 07: KILGORE","N","N","C","0"," ","Needs Assistance"
"037907","RUSK ISD","037","CHEROKEE","07","REGION 07: KILGORE","N","N","B","0"," ","Meets Requirements"
"037908","NEW SUMMERFIELD ISD","037","CHEROKEE","07","REGION 07: KILGORE","N","N","A"," "," ","Meets Requirements"
"037909","WELLS ISD","037","CHEROKEE","07","REGION 07: KILGORE","N","N","C"," "," ","Meets Requirements"
"038901","CHILDRESS ISD","038","CHILDRESS","16","REGION 16: AMARILLO","N","N","B","0"," ","Meets Requirements"
"039902","HENRIETTA ISD","039","CLAY","09","REGION 09: WICHITA FALLS","N","N","C","0"," ","Meets Requirements"
"039903","PETROLIA CISD","039","CLAY","09","REGION 09: WICHITA FALLS","N","N","B","0"," ","Meets Requirements"
"039904","BELLEVUE ISD","039","CLAY","09","REGION 09: WICHITA FALLS","N","N","B"," "," ","Meets Requirements"
"039905","MIDWAY ISD","039","CLAY","09","REGION 09: WICHITA FALLS","N","N","B"," "," ","Meets Requirements"
"040901","MORTON ISD","040","COCHRAN","17","REGION 17: LUBBOCK","N","N","D"," "," ","Meets Requirements"
"040902","WHITEFACE CISD","040","COCHRAN","17","REGION 17: LUBBOCK","N","N","B"," "," ","Meets Requirements"
"041901","BRONTE ISD","041","COKE","15","REGION 15: SAN ANGELO","N","N","A"," "," ","Meets Requirements"
"041902","ROBERT LEE ISD","041","COKE","15","REGION 15: SAN ANGELO","N","N","B","0"," ","Meets Requirements"
"042901","COLEMAN ISD","042","COLEMAN","15","REGION 15: SAN ANGELO","N","N","C","0"," ","Meets Requirements"
"042903","SANTA ANNA ISD","042","COLEMAN","15","REGION 15: SAN ANGELO","N","N","C","0"," ","Meets Requirements"
"042905","PANTHER CREEK CISD","042","COLEMAN","15","REGION 15: SAN ANGELO","N","N","C"," "," ","Meets Requirements"
"043801","IMAGINE INTERNATIONAL ACADEMY OF NORTH TEXAS","043","COLLIN","10","REGION 10: RICHARDSON","Y","N","A"," "," ","Meets Requirements"
"043802","IMAGINE LONE STAR INTERNATIONAL ACADEMY","043","COLLIN","10","REGION 10: RICHARDSON","Y","N","A"," "," ","Meets Requirements"
"043901","ALLEN ISD","043","COLLIN","10","REGION 10: RICHARDSON","N","N","A","0"," ","Meets Requirements"
"043902","ANNA ISD","043","COLLIN","10","REGION 10: RICHARDSON","N","N","C","0"," ","Needs Assistance"
"043903","CELINA ISD","043","COLLIN","10","REGION 10: RICHARDSON","N","N","B","0"," ","Meets Requirements"
"043904","FARMERSVILLE ISD","043","COLLIN","10","REGION 10: RICHARDSON","N","N","B","0"," ","Meets Requirements"
"043905","FRISCO ISD","043","COLLIN","10","REGION 10: RICHARDSON","N","N","A","0"," ","Meets Requirements"
"043907","MCKINNEY ISD","043","COLLIN","10","REGION 10: RICHARDSON","N","N","B","0"," ","Meets Requirements"
"043908","MELISSA ISD","043","COLLIN","10","REGION 10: RICHARDSON","N","N","A","0"," ","Meets Requirements"
"043910","PLANO ISD","043","COLLIN","10","REGION 10: RICHARDSON","N","N","B","0"," ","Meets Requirements"
"043911","PRINCETON ISD","043","COLLIN","10","REGION 10: RICHARDSON","N","N","B","0"," ","Needs Assistance"
"043912","PROSPER ISD","043","COLLIN","10","REGION 10: RICHARDSON","N","N","A","0"," ","Meets Requirements"
"043914","WYLIE ISD","043","COLLIN","10","REGION 10: RICHARDSON","N","N","A","1"," ","Meets Requirements"
"043917","BLUE RIDGE ISD","043","COLLIN","10","REGION 10: RICHARDSON","N","N","C","0"," ","Meets Requirements"
"043918","COMMUNITY ISD","043","COLLIN","10","REGION 10: RICHARDSON","N","N","C","0"," ","Needs Assistance"
"043919","LOVEJOY ISD","043","COLLIN","10","REGION 10: RICHARDSON","N","N","A","0"," ","Meets Requirements"
"044902","WELLINGTON ISD","044","COLLINGSWORTH","16","REGION 16: AMARILLO","N","N","B","0"," ","Meets Requirements"
"045902","COLUMBUS ISD","045","COLORADO","04","REGION 04: HOUSTON","N","N","B","0"," ","Needs Assistance"
"045903","RICE CISD","045","COLORADO","03","REGION 03: VICTORIA","N","N","C","0"," ","Meets Requirements"
"045905","WEIMAR ISD","045","COLORADO","03","REGION 03: VICTORIA","N","N","B","0","ASVAB Alternative Test Offered","Meets Requirements"
"046802","TRINITY CHARTER SCHOOL","046","COMAL","20","REGION 20: SAN ANTONIO","Y","Y","X"," "," ","Needs Assistance"
"046901","NEW BRAUNFELS ISD","046","COMAL","20","REGION 20: SAN ANTONIO","N","N","B","0"," ","Meets Requirements"
"046902","COMAL ISD","046","COMAL","20","REGION 20: SAN ANTONIO","N","N","B","0"," ","Meets Requirements"
"047901","COMANCHE ISD","047","COMANCHE","14","REGION 14: ABILENE","N","N","B","0"," ","Meets Requirements"
