DISTRICT,DPEMSPEC,DPEMSPEP,DPEMSPET,DPET504C,DPET504P,DPETALLC,DPETASIC,DPETASIP,DPETATTC,DPETATTD,DPETATTP,DPETBILC,DPETBILP,DPETBLAC,DPETBLAP,DPETDISC,DPETDISP,DPETDSLC,DPETDSLP,DPETECOC,DPETECOP,DPETFEMC,DPETFEMP,DPETFOSC,DPETFOSP,DPETGIFC,DPETGIFP,DPETHISC,DPETHISP,DPETHOMC,DPETHOMP,DPETIMMC,DPETIMMP,DPETINDC,DPETINDP,DPETLEPC,DPETLEPP,DPETMALC,DPETMALP,DPETMIGC,DPETMIGP,DPETMLCC,DPETMLCP,DPETNEDC,DPETNEDP,DPETPCIC,DPETPCIP,DPETRSKC,DPETRSKP,DPETSPEC,DPETSPEP,DPETTT1C,DPETTT1P,DPETTWOC,DPETTWOP,DPETWHIC,DPETWHIP,DPNTBILC,DPNTBILP,DPNTGIFC,DPNTGIFP,DPNTSPEC,DPNTSPEP
"'108903",93,18.2,511,189,4.3,4364,0,0,396,2721,14.6,1178,27,3,0.1,88,1.9,138,3.2,4099,93.9,2169,49.7,10,0.2,420,9.6,4351,99.7,41,0.9,37,0.8,1,0,1213,27.8,2195,50.3,237,5.4,52,1.2,265,6.1,0,0,3357,76.9,508,11.6,4364,100,0,0,9,0.2,1178,27,420,9.6,510,11.7
"'108904",678,24.8,2729,1689,5,33867,195,0.6,4007,25132,15.9,12658,37.4,102,0.3,682,1.9,664,2,27951,82.5,16606,49,27,0.1,2269,6.7,33130,97.8,62,0.2,390,1.2,15,0,12736,37.6,17261,51,1028,3,727,2.1,5916,17.5,3,0,20947,61.9,2623,7.7,33659,99.4,82,0.2,340,1,12669,37.4,2270,6.7,2647,7.8
"'108905",32,12.5,256,150,5,3009,0,0,230,2224,10.3,2461,81.8,0,0,61,2,41,1.4,2671,88.8,1476,49.1,1,0,266,8.8,3008,100,0,0,80,2.7,0,0,2046,68,1533,50.9,128,4.3,15,0.5,338,11.2,0,0,2443,81.2,287,9.5,3009,100,0,0,1,0,2462,81.8,266,8.8,288,9.6
"'108906",454,16.1,2821,2036,10,20343,234,1.2,2630,16002,16.4,7797,38.3,72,0.4,398,1.8,1786,8.8,14773,72.6,9850,48.4,30,0.1,2346,11.5,19032,93.6,290,1.4,487,2.4,17,0.1,7324,36,10493,51.6,376,1.8,81,0.4,5570,27.4,4,0,12014,59.1,2893,14.2,19480,95.8,79,0.4,905,4.4,7822,38.3,2347,11.5,2925,14.3
"'108907",88,18.1,486,317,7.1,4455,4,0.1,564,3283,17.2,1294,29,10,0.2,80,1.7,262,5.9,4082,91.6,2164,48.6,27,0.6,518,11.6,4362,97.9,13,0.3,56,1.3,3,0.1,1397,31.4,2291,51.4,74,1.7,20,0.4,373,8.4,1,0,3372,75.7,516,11.6,4455,100,7,0.2,68,1.5,1295,29.1,518,11.6,516,11.6
"'108908",717,51,1405,1144,7.9,14493,7,0,1420,10752,13.2,5537,38.2,22,0.2,283,1.8,670,4.6,12559,86.7,7056,48.7,17,0.1,1691,11.7,14329,98.9,10,0.1,199,1.4,2,0,5620,38.8,7437,51.3,122,0.8,179,1.2,1934,13.3,2,0,10900,75.2,1493,10.3,14493,100,7,0,124,0.9,5537,38.2,1691,11.7,1499,10.3
"'108909",1367,43.8,3121,1501,5,29928,24,0.1,3254,22317,14.6,15082,50.4,33,0.1,328,1,703,2.3,27679,92.5,14602,48.8,44,0.1,1818,6.1,29603,98.9,57,0.2,420,1.4,4,0,13452,44.9,15326,51.2,513,1.7,68,0.2,2249,7.5,2,0,23450,78.4,3008,10.1,29928,100,2,0,260,0.9,15109,50.4,1822,6.1,3026,10.1
"'108910",20,14.9,134,100,6.9,1444,0,0,118,1011,11.7,966,66.9,0,0,10,0.6,46,3.2,1443,99.9,702,48.6,0,0,144,10,1437,99.5,1,0.1,23,1.6,0,0,875,60.6,742,51.4,159,11,7,0.5,1,0.1,0,0,1060,73.4,132,9.1,1444,100,0,0,7,0.5,966,66.9,144,10,132,9.1
"'108911",123,14.2,866,642,6.6,9726,151,1.6,832,7248,11.5,3400,35,57,0.6,69,0.7,532,5.5,6672,68.6,4682,48.1,8,0.1,979,10.1,9032,92.9,44,0.5,296,3,12,0.1,3487,35.9,5044,51.9,67,0.7,130,1.3,3054,31.4,3,0,5931,61,877,9,9726,100,37,0.4,434,4.5,3402,35,979,10.1,880,9
"'108912",877,29.7,2949,1155,4.7,24800,4,0,2961,18566,15.9,13678,55.2,8,0,281,1,1066,4.3,23222,93.6,12153,49,18,0.1,2485,10,24771,99.9,800,3.2,284,1.1,2,0,14222,57.3,12647,51,901,3.6,160,0.6,1578,6.4,0,0,20073,80.9,2967,12,24348,98.2,1,0,14,0.1,13678,55.1,2485,10,2971,12
"'108913",602,33.1,1817,647,3.9,16478,18,0.1,1755,12067,14.5,5526,33.5,27,0.2,346,2,722,4.4,13624,82.7,8199,49.8,19,0.1,938,5.7,16189,98.2,232,1.4,124,0.8,4,0,4404,26.7,8279,50.2,319,1.9,136,0.8,2854,17.3,7,0,12707,77.1,1753,10.6,15978,97,9,0.1,224,1.4,5528,33.5,938,5.7,1759,10.7
"'108914",11,16.9,65,46,8.1,566,0,0,45,415,10.8,98,17.3,0,0,2,0.3,54,9.5,530,93.6,284,50.2,0,0,40,7.1,565,99.8,38,6.7,0,0,0,0,103,18.2,282,49.8,89,15.7,12,2.1,36,6.4,0,0,364,64.3,52,9.2,566,100,0,0,1,0.2,98,17.3,40,7.1,52,9.2
"'108915",18,18.2,99,42,4.9,865,0,0,83,701,11.8,292,33.8,0,0,21,2.2,29,3.4,788,91.1,394,45.5,0,0,12,1.4,851,98.4,20,2.3,3,0.3,0,0,304,35.1,471,54.5,31,3.6,4,0.5,77,8.9,0,0,586,67.7,83,9.6,863,99.8,1,0.1,13,1.5,292,33.8,12,1.4,83,9.6
"'108916",48,11.5,417,137,3.7,3738,2,0.1,452,2613,17.3,2715,72.6,0,0,99,2.4,77,2.1,3596,96.2,1802,48.2,1,0,356,9.5,3730,99.8,0,0,85,2.3,0,0,2718,72.7,1936,51.8,82,2.2,15,0.4,142,3.8,0,0,3066,82,398,10.6,3737,100,0,0,6,0.2,2716,72.6,356,9.5,399,10.7
"'109901",3,7.9,38,20,7,286,0,0,21,257,8.2,1,0.3,4,1.4,3,1,28,9.8,77,26.9,131,45.8,2,0.7,20,7,41,14.3,1,0.3,0,0,0,0,1,0.3,155,54.2,0,0,1,0.3,209,73.1,0,0,65,22.7,38,13.3,286,100,5,1.7,236,82.5,1,0.3,20,7,38,13.3
"'109902",3,6.7,45,13,6.9,189,2,1.1,23,171,13.5,18,9.5,6,3.2,0,0,23,12.2,111,58.7,87,46,0,0,9,4.8,63,33.3,12,6.3,1,0.5,2,1.1,19,10.1,102,54,0,0,3,1.6,78,41.3,0,0,84,44.4,48,25.4,189,100,3,1.6,113,59.8,18,9.5,9,4.8,48,25.4
"'109903",10,17.9,56,19,6,319,0,0,40,282,14.2,20,6.3,0,0,0,0,17,5.3,196,61.4,153,48,0,0,17,5.3,73,22.9,0,0,0,0,3,0.9,20,6.3,166,52,0,0,9,2.8,123,38.6,2,0.6,126,39.5,54,16.9,319,100,11,3.4,230,72.1,20,6.3,17,5.3,54,16.9
"'109904",62,19.7,315,86,4.3,2009,18,0.9,145,1390,10.4,366,18.2,207,10.3,38,1.8,113,5.6,1536,76.5,957,47.6,17,0.8,79,3.9,1209,60.2,45,2.2,38,1.9,6,0.3,375,18.7,1052,52.4,5,0.2,87,4.3,473,23.5,0,0,1058,52.7,337,16.8,2009,100,90,4.5,479,23.8,366,18.2,79,3.9,339,16.9
"'109905",13,17.1,76,53,11.9,446,1,0.2,46,385,11.9,8,1.8,52,11.7,6,1.2,52,11.7,278,62.3,207,46.4,0,0,36,8.1,95,21.3,0,0,0,0,0,0,9,2,239,53.6,0,0,33,7.4,168,37.7,0,0,235,52.7,67,15,446,100,23,5.2,275,61.7,8,1.8,37,8.3,68,15.2
"'109907",25,26.6,94,29,4.5,651,4,0.6,90,495,18.2,111,17.1,38,5.8,20,2.8,33,5.1,433,66.5,293,45,21,3.2,54,8.3,335,51.5,8,1.2,0,0,1,0.2,112,17.2,358,55,7,1.1,5,0.8,218,33.5,0,0,330,50.7,87,13.4,651,100,17,2.6,256,39.3,111,17.1,54,8.3,87,13.4
"'109908",3,13,23,3,2.3,128,0,0,36,140,25.7,66,51.6,4,3.1,0,0,3,2.3,111,86.7,62,48.4,0,0,3,2.3,101,78.9,28,21.9,0,0,0,0,74,57.8,66,51.6,5,3.9,0,0,17,13.3,1,0.8,92,71.9,20,15.6,0,0,5,3.9,17,13.3,66,51.6,3,2.3,20,15.6
"'109910",2,6.5,31,15,8.9,168,0,0,46,180,25.6,4,2.4,8,4.8,0,0,10,6,129,76.8,82,48.8,0,0,9,5.4,52,31,0,0,0,0,0,0,8,4.8,86,51.2,0,0,2,1.2,39,23.2,0,0,59,35.1,31,18.5,166,98.8,5,3,103,61.3,4,2.4,9,5.4,31,18.5
"'109911",59,21.6,273,156,10.3,1517,2,0.1,162,1064,15.2,115,7.6,73,4.8,21,1.3,129,8.5,993,65.5,730,48.1,7,0.5,79,5.2,347,22.9,84,5.5,0,0,4,0.3,116,7.6,787,51.9,3,0.2,43,2.8,524,34.5,1,0.1,608,40.1,273,18,773,51,58,3.8,1032,68,115,7.6,79,5.2,277,18.2
"'109912",10,19.6,51,38,11.8,323,0,0,54,311,17.4,17,5.3,1,0.3,4,1.1,23,7.1,163,50.5,167,51.7,1,0.3,31,9.6,36,11.1,0,0,0,0,0,0,17,5.3,156,48.3,3,0.9,8,2.5,160,49.5,0,0,117,36.2,53,16.4,323,100,8,2.5,278,86.1,17,5.3,31,9.6,53,16.4
"'109913",15,24.2,62,34,10.1,338,0,0,70,328,21.3,7,2.1,7,2.1,1,0.3,32,9.5,181,53.6,171,50.6,0,0,13,3.8,38,11.2,3,0.9,0,0,1,0.3,7,2.1,167,49.4,0,0,4,1.2,157,46.4,0,0,105,31.1,53,15.7,338,100,10,3,282,83.4,7,2.1,13,3.8,53,15.7
"'109914",5,12.5,40,16,7.9,202,0,0,22,183,12,17,8.4,4,2,4,1.9,22,10.9,115,56.9,93,46,0,0,4,2,66,32.7,0,0,0,0,0,0,17,8.4,109,54,2,1,0,0,87,43.1,0,0,47,23.3,38,18.8,202,100,3,1.5,129,63.9,17,8.4,4,2,38,18.8
"'110901",4,16,25,14,8.2,170,0,0,25,166,15.1,5,2.9,9,5.3,3,1.4,10,5.9,137,80.6,88,51.8,1,0.6,2,1.2,119,70,4,2.4,0,0,1,0.6,6,3.5,82,48.2,0,0,12,7.1,33,19.4,0,0,107,62.9,22,12.9,170,100,5,2.9,36,21.2,5,2.9,2,1.2,22,12.9
"'110902",62,11.9,519,220,8.2,2682,6,0.2,197,1737,11.3,236,8.8,75,2.8,79,2.7,241,9,2049,76.4,1279,47.7,18,0.7,148,5.5,1991,74.2,20,0.7,15,0.6,6,0.2,271,10.1,1403,52.3,155,5.8,23,0.9,633,23.6,0,0,1468,54.7,524,19.5,2682,100,29,1.1,575,21.4,236,8.8,148,5.5,528,19.6
"'110905",2,5.7,35,48,8.8,546,1,0.2,34,483,7,10,1.8,3,0.5,2,0.4,32,5.9,189,34.6,267,48.9,0,0,45,8.2,147,26.9,8,1.5,0,0,1,0.2,10,1.8,279,51.1,0,0,0,0,357,65.4,0,0,115,21.1,38,7,546,100,2,0.4,392,71.8,10,1.8,45,8.2,38,7
"'110906",4,7.1,56,47,10.6,442,0,0,45,396,11.4,14,3.2,2,0.5,10,2.3,49,11.1,244,55.2,223,50.5,0,0,33,7.5,199,45,9,2,0,0,0,0,14,3.2,219,49.5,0,0,18,4.1,198,44.8,0,0,167,37.8,56,12.7,442,100,7,1.6,234,52.9,14,3.2,33,7.5,56,12.7
"'110907",5,8.9,56,63,10.9,579,4,0.7,47,457,10.3,22,3.8,2,0.3,0,0,37,6.4,291,50.3,275,47.5,3,0.5,65,11.2,337,58.2,0,0,0,0,0,0,22,3.8,304,52.5,0,0,5,0.9,288,49.7,0,0,139,24,59,10.2,247,42.7,10,1.7,226,39,22,3.7,65,11,60,10.1
"'110908",0,0,28,17,7.3,234,0,0,26,222,11.7,2,0.9,2,0.9,0,0,7,3,108,46.2,98,41.9,2,0.9,11,4.7,84,35.9,8,3.4,0,0,1,0.4,2,0.9,136,58.1,1,0.4,7,3,126,53.8,0,0,45,19.2,20,8.5,234,100,6,2.6,141,60.3,2,0.9,11,4.7,20,8.5
"'111801",31,100,31,5,12.2,41,0,0,43,43,100,3,7.3,7,17.1,0,0,1,2.4,33,80.5,3,7.3,0,0,0,0,22,53.7,1,2.4,0,0,0,0,5,12.2,38,92.7,0,0,0,0,8,19.5,0,0,39,95.1,10,24.4,41,100,0,0,12,29.3,3,7.3,0,0,10,24.4
"'111901",224,18.5,1214,914,11.5,7942,68,0.9,974,5883,16.6,823,10.4,103,1.3,177,2.1,673,8.5,4356,54.8,3831,48.2,10,0.1,668,8.4,2174,27.4,94,1.2,90,1.1,27,0.3,839,10.6,4111,51.8,1,0,146,1.8,3586,45.2,32,0.4,3178,40,1166,14.7,7942,100,246,3.1,5292,66.6,823,10.3,668,8.4,1178,14.8
"'111902",1,2.4,42,45,9.7,466,0,0,41,393,10.4,20,4.3,2,0.4,0,0,23,4.9,255,54.7,229,49.1,0,0,16,3.4,65,13.9,5,1.1,0,0,0,0,20,4.3,237,50.9,0,0,13,2.8,211,45.3,1,0.2,156,33.5,47,10.1,466,100,8,1.7,390,83.7,20,4.3,16,3.4,48,10.3
"'111903",7,8.1,86,80,9.2,873,1,0.1,64,658,9.7,6,0.7,7,0.8,4,0.4,54,6.2,313,35.9,421,48.2,2,0.2,30,3.4,59,6.8,0,0,1,0.1,4,0.5,5,0.6,452,51.8,0,0,37,4.2,560,64.1,3,0.3,142,16.3,97,11.1,869,99.5,15,1.7,784,89.8,6,0.7,30,3.4,101,11.5
"'112901",109,15.9,684,720,16.5,4355,43,1,339,2906,11.7,787,18.1,435,10,112,2.4,333,7.6,2838,65.2,2102,48.3,15,0.3,229,5.3,1325,30.4,42,1,10,0.2,15,0.3,685,15.7,2253,51.7,2,0,23,0.5,1517,34.8,6,0.1,2353,54,647,14.9,2103,48.3,202,4.6,2329,53.5,787,18,229,5.3,653,15
"'112905",9,12.2,74,53,12.3,430,1,0.2,73,377,19.4,18,4.2,2,0.5,13,2.8,55,12.8,242,56.3,233,54.2,1,0.2,26,6,48,11.2,18,4.2,0,0,9,2.1,20,4.7,197,45.8,0,0,0,0,188,43.7,0,0,195,45.3,73,17,430,100,14,3.3,356,82.8,18,4.2,26,6,73,16.9
"'112906",10,14.1,71,71,13.8,516,0,0,62,457,13.6,69,13.4,1,0.2,10,1.8,43,8.3,316,61.2,254,49.2,9,1.7,41,7.9,133,25.8,15,2.9,0,0,3,0.6,73,14.1,262,50.8,0,0,1,0.2,200,38.8,1,0.2,227,44,65,12.6,516,100,16,3.1,362,70.2,69,13.4,41,7.9,65,12.6
"'112907",2,5.6,36,37,11.7,317,1,0.3,28,279,10,14,4.4,0,0,2,0.6,33,10.4,152,47.9,159,50.2,0,0,3,0.9,46,14.5,20,6.3,0,0,1,0.3,14,4.4,158,49.8,0,0,26,8.2,165,52.1,1,0.3,157,49.5,41,12.9,317,100,8,2.5,260,82,14,4.4,3,0.9,41,12.9
"'112908",12,9.7,124,84,11.5,730,5,0.7,74,670,11,175,24,10,1.4,7,0.9,48,6.6,471,64.5,342,46.8,11,1.5,34,4.7,307,42.1,7,1,5,0.7,2,0.3,178,24.4,388,53.2,6,0.8,24,3.3,259,35.5,0,0,427,58.5,128,17.5,729,99.9,16,2.2,390,53.4,176,24,34,4.6,130,17.7
"'112909",8,21.6,37,34,13.7,248,0,0,29,230,12.6,28,11.3,7,2.8,0,0,12,4.8,144,58.1,132,53.2,0,0,7,2.8,68,27.4,0,0,3,1.2,0,0,28,11.3,116,46.8,0,0,0,0,104,41.9,0,0,77,31,36,14.5,247,99.6,7,2.8,166,66.9,28,11.3,7,2.8,36,14.5
"'112910",7,23.3,30,29,12.9,225,1,0.4,17,187,9.1,10,4.4,3,1.3,1,0.4,28,12.4,125,55.6,103,45.8,0,0,12,5.3,41,18.2,0,0,0,0,0,0,12,5.3,122,54.2,0,0,4,1.8,100,44.4,0,0,100,44.4,27,12,225,100,5,2.2,175,77.8,10,4.4,12,5.3,29,12.8
"'113901",22,14.1,156,117,9.7,1203,6,0.5,127,855,14.9,221,18.4,541,45,44,3.4,77,6.4,1073,89.2,588,48.9,0,0,48,4,399,33.2,12,1,0,0,3,0.2,228,19,615,51.1,5,0.4,5,0.4,130,10.8,1,0.1,614,51,166,13.8,1203,100,46,3.8,207,17.2,221,18.4,48,4,166,13.8
"'113902",4,4.8,83,18,3,610,7,1.1,87,503,17.3,3,0.5,129,21.1,6,0.9,27,4.4,384,63,263,43.1,0,0,29,4.8,58,9.5,0,0,0,0,1,0.2,3,0.5,347,56.9,1,0.2,7,1.1,226,37,0,0,43,7,87,14.3,8,1.3,24,3.9,391,64.1,3,0.5,29,4.7,88,14.3
"'113903",6,8.1,74,63,11.8,536,1,0.2,32,425,7.5,7,1.3,61,11.4,2,0.4,57,10.6,263,49.1,258,48.1,5,0.9,32,6,64,11.9,0,0,0,0,1,0.2,7,1.3,278,51.9,0,0,0,0,273,50.9,0,0,129,24.1,72,13.4,283,52.8,15,2.8,394,73.5,7,1.3,32,5.9,74,13.8
"'113905",10,13.3,75,46,9.3,496,8,1.6,60,429,14,28,5.6,6,1.2,6,1.1,25,5,280,56.5,259,52.2,2,0.4,30,6,102,20.6,0,0,0,0,2,0.4,29,5.8,237,47.8,0,0,21,4.2,216,43.5,0,0,201,40.5,65,13.1,496,100,11,2.2,367,74,28,5.6,30,6,66,13.3
"'113906",12,27.3,44,34,13.2,258,0,0,21,227,9.3,1,0.4,31,12,1,0.3,29,11.2,172,66.7,141,54.7,1,0.4,18,7,15,5.8,17,6.6,0,0,0,0,1,0.4,117,45.3,0,0,4,1.6,86,33.3,0,0,146,56.6,45,17.4,258,100,11,4.3,201,77.9,1,0.4,18,7,45,17.4
"'114901",69,10.5,656,175,5,3508,35,1,301,2002,15,224,6.4,170,4.8,85,2.2,195,5.6,2559,72.9,1697,48.4,16,0.5,165,4.7,2387,68,25,0.7,6,0.2,5,0.1,232,6.6,1811,51.6,3,0.1,81,2.3,949,27.1,7,0.2,2033,58,644,18.4,3411,97.2,104,3,800,22.8,224,6.4,165,4.7,646,18.4
"'114902",13,10.9,119,89,8.2,1092,4,0.4,126,874,14.4,36,3.3,6,0.5,14,1.2,72,6.6,431,39.5,560,51.3,2,0.2,46,4.2,478,43.8,0,0,0,0,3,0.3,38,3.5,532,48.7,0,0,0,0,661,60.5,0,0,509,46.6,132,12.1,567,51.9,17,1.6,584,53.5,36,3.3,46,4.2,132,12.1
"'114904",6,8.7,69,59,7.8,752,16,2.1,65,667,9.7,23,3.1,5,0.7,12,1.5,53,7,295,39.2,363,48.3,0,0,48,6.4,270,35.9,0,0,2,0.3,3,0.4,24,3.2,389,51.7,0,0,4,0.5,457,60.8,0,0,289,38.4,64,8.5,358,47.6,19,2.5,439,58.4,23,3.1,48,6.4,65,8.6
"'115901",1,2.2,45,13,3.5,375,1,0.3,31,314,9.9,277,73.9,2,0.5,0,0,15,4,336,89.6,179,47.7,0,0,22,5.9,361,96.3,0,0,8,2.1,0,0,229,61.1,196,52.3,23,6.1,17,4.5,39,10.4,0,0,276,73.6,42,11.2,375,100,3,0.8,8,2.1,277,73.5,22,5.8,44,11.7
"'115902",0,0,19,1,0.9,116,0,0,17,109,15.6,10,8.6,4,3.4,0,0,5,4.3,97,83.6,50,43.1,0,0,0,0,80,69,0,0,0,0,0,0,10,8.6,66,56.9,3,2.6,0,0,19,16.4,0,0,24,20.7,23,19.8,115,99.1,1,0.9,31,26.7,10,8.6,0,0,23,19.8
"'115903",2,20,10,1,1.6,61,0,0,14,68,20.6,17,27.9,0,0,0,0,0,0,49,80.3,26,42.6,0,0,6,9.8,40,65.6,4,6.6,0,0,0,0,17,27.9,35,57.4,2,3.3,1,1.6,12,19.7,0,0,23,37.7,12,19.7,61,100,2,3.3,19,31.1,17,27.9,6,9.8,12,19.7
"'116901",52,13.8,376,357,13.5,2636,11,0.4,176,1622,10.9,147,5.6,97,3.7,45,1.8,335,12.7,792,30,1290,48.9,8,0.3,104,3.9,589,22.3,13,0.5,10,0.4,16,0.6,150,5.7,1346,51.1,1,0,115,4.4,1844,70,0,0,996,37.8,430,16.3,1133,43,86,3.3,1837,69.7,147,5.6,104,3.9,436,16.5
"'116902",10,12.5,80,37,7.1,518,0,0,40,384,10.4,27,5.2,10,1.9,14,2.6,51,9.8,318,61.4,240,46.3,0,0,24,4.6,117,22.6,1,0.2,0,0,4,0.8,27,5.2,278,53.7,0,0,9,1.7,200,38.6,0,0,102,19.7,89,17.2,355,68.5,25,4.8,362,69.9,27,5.2,24,4.6,90,17.3
"'116903",44,16.4,268,137,9.1,1511,22,1.5,162,1018,15.9,189,12.5,380,25.1,49,3,134,8.9,1132,74.9,768,50.8,6,0.4,90,6,363,24,8,0.5,15,1,6,0.4,192,12.7,743,49.2,0,0,60,4,379,25.1,13,0.9,935,61.9,262,17.3,715,47.3,96,6.4,631,41.8,189,12.5,90,5.9,268,17.7
"'116905",169,21,804,539,10,5417,35,0.6,654,3587,18.2,1491,27.5,860,15.9,98,1.7,378,7,4073,75.2,2586,47.7,8,0.1,415,7.7,2667,49.2,31,0.6,24,0.4,15,0.3,1454,26.8,2831,52.3,0,0,148,2.7,1344,24.8,13,0.2,3137,57.9,806,14.9,3699,68.3,281,5.2,1546,28.5,1491,27.5,415,7.7,809,14.9
"'116906",41,21.8,188,156,14.4,1082,5,0.5,92,783,11.7,41,3.8,19,1.8,12,1.1,86,7.9,490,45.3,519,48,28,2.6,83,7.7,167,15.4,0,0,0,0,5,0.5,41,3.8,563,52,0,0,3,0.3,592,54.7,2,0.2,465,43,173,16,488,45.1,32,3,852,78.7,41,3.8,83,7.7,174,16.1
"'116908",86,19.2,449,248,8.9,2781,7,0.3,259,1836,14.1,535,19.2,26,0.9,93,3.2,196,7,2120,76.2,1363,49,27,1,101,3.6,1074,38.6,36,1.3,18,0.6,15,0.5,542,19.5,1418,51,0,0,23,0.8,661,23.8,6,0.2,1580,56.8,447,16.1,764,27.5,96,3.5,1557,56,535,19.2,101,3.6,450,16.2
"'116909",11,11.8,93,90,12.5,719,1,0.1,51,550,9.3,73,10.2,23,3.2,4,0.5,73,10.2,419,58.3,325,45.2,4,0.6,57,7.9,177,24.6,2,0.3,1,0.1,2,0.3,74,10.3,394,54.8,0,0,8,1.1,300,41.7,0,0,145,20.2,99,13.8,346,48.1,20,2.8,496,69,73,10.1,57,7.9,100,13.9
"'116910",18,23.7,76,21,7.1,295,3,1,66,252,26.2,42,14.2,7,2.4,3,0.9,15,5.1,198,67.1,135,45.8,0,0,9,3.1,95,32.2,0,0,0,0,0,0,45,15.3,160,54.2,0,0,19,6.4,97,32.9,0,0,95,32.2,65,22,146,49.5,8,2.7,182,61.7,42,14.2,9,3.1,65,22
"'116915",14,10.9,128,63,8.2,772,2,0.3,86,602,14.3,175,22.7,9,1.2,10,1.2,44,5.7,473,61.3,388,50.3,3,0.4,61,7.9,358,46.4,2,0.3,0,0,6,0.8,175,22.7,384,49.7,0,0,3,0.4,299,38.7,0,0,375,48.6,124,16.1,555,71.9,18,2.3,379,49.1,175,22.6,61,7.9,125,16.2
"'116916",8,8.4,95,73,13.3,547,3,0.5,40,408,9.8,29,5.3,14,2.6,11,2,54,9.9,327,59.8,262,47.9,1,0.2,37,6.8,111,20.3,51,9.3,1,0.2,5,0.9,34,6.2,285,52.1,0,0,48,8.8,220,40.2,0,0,248,45.3,85,15.5,547,100,15,2.7,399,72.9,29,5.3,37,6.8,85,15.5
"'117901",61,15.8,387,196,7.9,2470,16,0.6,144,1404,10.3,234,9.5,52,2.1,97,3.6,197,8,1469,59.5,1219,49.4,12,0.5,133,5.4,1141,46.2,1,0,8,0.3,25,1,257,10.4,1251,50.6,0,0,19,0.8,1001,40.5,0,0,1161,47,366,14.8,1710,69.2,98,4,1138,46.1,234,9.4,133,5.4,370,14.9
"'117903",15,12.2,123,30,4.4,688,3,0.4,71,555,12.8,4,0.6,7,1,4,0.5,29,4.2,337,49,323,46.9,0,0,26,3.8,68,9.9,13,1.9,0,0,6,0.9,4,0.6,365,53.1,1,0.1,4,0.6,351,51,0,0,240,34.9,115,16.7,309,44.9,25,3.6,579,84.2,4,0.6,26,3.8,115,16.7
"'117904",9,8,113,48,8.4,573,0,0,64,382,16.8,8,1.4,0,0,2,0.3,63,11,223,38.9,260,45.4,0,0,43,7.5,136,23.7,4,0.7,0,0,4,0.7,8,1.4,313,54.6,0,0,6,1,350,61.1,1,0.2,251,43.8,94,16.4,573,100,30,5.2,402,70.2,8,1.4,43,7.5,94,16.4
"'117907",2,15.4,13,9,9.8,92,0,0,19,88,21.6,6,6.5,2,2.2,0,0,6,6.5,36,39.1,54,58.7,0,0,2,2.2,26,28.3,0,0,0,0,0,0,6,6.5,38,41.3,0,0,3,3.3,56,60.9,0,0,36,39.1,14,15.2,92,100,3,3.3,61,66.3,6,6.5,2,2.2,14,15.2
"'118902",2,4.4,45,36,10.8,333,2,0.6,22,285,7.7,7,2.1,5,1.5,0,0,21,6.3,122,36.6,164,49.2,0,0,28,8.4,91,27.3,4,1.2,0,0,0,0,7,2.1,169,50.8,0,0,6,1.8,211,63.4,0,0,110,33,50,15,333,100,5,1.5,230,69.1,7,2.1,28,8.4,50,15
"'119901",3,11.1,27,25,9.7,259,0,0,21,237,8.9,7,2.7,0,0,0,0,18,6.9,145,56,145,56,0,0,6,2.3,25,9.7,0,0,0,0,1,0.4,7,2.7,114,44,0,0,0,0,114,44,0,0,69,26.6,28,10.8,259,100,2,0.8,231,89.2,7,2.7,6,2.3,28,10.8
"'119902",21,13.4,157,134,12.4,1079,5,0.5,91,842,10.8,167,15.5,5,0.5,8,0.7,131,12.1,734,68,491,45.5,2,0.2,73,6.8,362,33.5,14,1.3,3,0.3,6,0.6,168,15.6,588,54.5,0,0,35,3.2,345,32,1,0.1,579,53.7,160,14.8,1079,100,30,2.8,670,62.1,167,15.4,73,6.7,164,15.1
"'119903",7,15.9,44,21,6.6,319,0,0,49,290,16.9,10,3.1,0,0,1,0.3,25,7.8,162,50.8,141,44.2,0,0,19,6,59,18.5,0,0,0,0,0,0,10,3.1,178,55.8,0,0,2,0.6,157,49.2,0,0,117,36.7,46,14.4,171,53.6,10,3.1,250,78.4,10,3.1,19,6,46,14.4
"'120901",34,16.5,206,116,7.4,1570,34,2.2,118,816,14.5,135,8.6,175,11.1,17,1,57,3.6,973,62,765,48.7,5,0.3,136,8.7,672,42.8,23,1.5,4,0.3,1,0.1,146,9.3,805,51.3,2,0.1,13,0.8,597,38,0,0,801,51,221,14.1,1570,100,56,3.6,632,40.3,135,8.6,136,8.6,224,14.2
"'120902",4,6.9,58,73,10.3,707,0,0,49,590,8.3,87,12.3,12,1.7,27,3.6,22,3.1,375,53,393,55.6,0,0,53,7.5,418,59.1,8,1.1,1,0.1,1,0.1,90,12.7,314,44.4,1,0.1,0,0,332,47,0,0,302,42.7,57,8.1,342,48.4,8,1.1,268,37.9,87,12.2,53,7.5,61,8.6
