DISTRICT,DPEMSPEC,DPEMSPEP,DPEMSPET,DPET504C,DPET504P,DPETALLC,DPETASIC,DPETASIP,DPETATTC,DPETATTD,DPETATTP,DPETBILC,DPETBILP,DPETBLAC,DPETBLAP,DPETDISC,DPETDISP,DPETDSLC,DPETDSLP,DPETECOC,DPETECOP,DPETFEMC,DPETFEMP,DPETFOSC,DPETFOSP,DPETGIFC,DPETGIFP,DPETHISC,DPETHISP,DPETHOMC,DPETHOMP,DPETIMMC,DPETIMMP,DPETINDC,DPETINDP,DPETLEPC,DPETLEPP,DPETMALC,DPETMALP,DPETMIGC,DPETMIGP,DPETMLCC,DPETMLCP,DPETNEDC,DPETNEDP,DPETPCIC,DPETPCIP,DPETRSKC,DPETRSKP,DPETSPEC,DPETSPEP,DPETTT1C,DPETTT1P,DPETTWOC,DPETTWOP,DPETWHIC,DPETWHIP,DPNTBILC,DPNTBILP,DPNTGIFC,DPNTGIFP,DPNTSPEC,DPNTSPEP
"'020902",298,26.7,1117,762,11.1,6885,28,0.4,789,5313,14.9,1327,19.3,798,11.6,156,2,478,6.9,4788,69.5,3309,48.1,4,0.1,388,5.6,3544,51.5,85,1.2,45,0.7,27,0.4,1096,15.9,3576,51.9,3,0,294,4.3,2097,30.5,7,0.1,3743,54.4,1002,14.6,4750,69,239,3.5,2242,32.6,1331,19.2,388,5.6,1034,14.9
"'020904",6,6.3,95,58,7.9,733,1,0.1,56,604,9.3,49,6.7,4,0.5,16,2,55,7.5,280,38.2,379,51.7,2,0.3,38,5.2,186,25.4,13,1.8,6,0.8,1,0.1,51,7,354,48.3,0,0,5,0.7,453,61.8,0,0,320,43.7,98,13.4,335,45.7,21,2.9,520,70.9,49,6.6,38,5.2,102,13.8
"'020905",412,23.3,1765,756,6.5,11583,157,1.4,1467,8224,17.8,1550,13.4,802,6.9,400,3.2,597,5.2,7917,68.4,5655,48.8,12,0.1,1309,11.3,6568,56.7,297,2.6,146,1.3,42,0.4,1598,13.8,5928,51.2,14,0.1,434,3.7,3666,31.6,5,0,5723,49.4,1788,15.4,8189,70.7,350,3,3659,31.6,1553,13.4,1309,11.3,1819,15.7
"'020906",29,14.6,198,192,10.1,1898,5,0.3,165,1444,11.4,74,3.9,203,10.7,51,2.5,123,6.5,1132,59.6,938,49.4,3,0.2,78,4.1,518,27.3,30,1.6,7,0.4,1,0.1,79,4.2,960,50.6,2,0.1,13,0.7,766,40.4,0,0,850,44.8,185,9.7,1898,100,97,5.1,1074,56.6,74,3.9,78,4.1,185,9.7
"'020907",81,16.3,496,358,12.3,2917,8,0.3,445,2304,19.3,233,8,218,7.5,46,1.4,262,9,1919,65.8,1440,49.4,17,0.6,190,6.5,819,28.1,56,1.9,12,0.4,7,0.2,261,8.9,1477,50.6,0,0,8,0.3,998,34.2,1,0,1460,50.1,472,16.2,1356,46.5,91,3.1,1773,60.8,233,8,190,6.5,480,16.4
"'020908",313,13,2404,1769,8.4,21167,2445,11.6,1815,14490,12.5,3015,14.2,3237,15.3,270,1.2,1087,5.1,7859,37.1,10229,48.3,59,0.3,2529,11.9,8035,38,104,0.5,156,0.7,46,0.2,2685,12.7,10938,51.7,6,0,1627,7.7,13308,62.9,28,0.1,7595,35.9,2392,11.3,7195,34,855,4,6521,30.8,3015,14.2,2529,11.9,2459,11.6
"'020910",2,8,25,2,2.2,93,2,2.2,43,103,41.7,16,17.2,2,2.2,0,0,4,4.3,77,82.8,47,50.5,7,7.5,1,1.1,53,57,4,4.3,0,0,0,0,17,18.3,46,49.5,0,0,0,0,16,17.2,3,3.2,31,33.3,20,21.5,0,0,4,4.3,29,31.2,16,17,1,1.1,21,22.3
"'021803",3,9.7,31,2,0.6,308,3,1,87,284,30.6,123,39.9,107,34.7,0,0,2,0.6,295,95.8,165,53.6,0,0,0,0,180,58.4,0,0,1,0.3,1,0.3,123,39.9,143,46.4,0,0,0,0,13,4.2,0,0,126,40.9,28,9.1,308,100,5,1.6,12,3.9,123,39.9,0,0,28,9.1
"'021805",9,11.1,81,17,2.5,675,2,0.3,163,547,29.8,83,12.3,404,59.9,0,0,9,1.3,508,75.3,354,52.4,1,0.1,5,0.7,215,31.9,7,1,13,1.9,5,0.7,89,13.2,321,47.6,2,0.3,13,1.9,167,24.7,0,0,357,52.9,82,12.1,675,100,25,3.7,24,3.6,83,12.3,5,0.7,82,12.1
"'021901",295,14.5,2041,1520,10.6,14406,967,6.7,1685,10066,16.7,1830,12.7,2146,14.9,171,1.1,1012,7,5895,40.9,6974,48.4,35,0.2,1561,10.8,3457,24,62,0.4,99,0.7,51,0.4,1497,10.4,7432,51.6,1,0,57,0.4,8511,59.1,34,0.2,5439,37.8,2077,14.4,4164,28.9,481,3.3,7270,50.5,1831,12.7,1561,10.8,2134,14.8
